Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
KEAP1-NFE2L2 Pathway R-HSA-9755511,-1.3962339822726748,0.7067722464752807,0.03571428571428571,PSMB1;CSNK2B;CREBBP;UBB;PSMB4;MAP1LC3B;PSMA1;ATF4;PSMD7;PSMA6;PSMA3,wald_stat,Reactome_2022
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,-1.3875512126448917,0.6866474390683558,0.07692307692307693,CHD4;POLR2K;RBBP7;H2AX;H2AZ1,wald_stat,Reactome_2022
Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442,1.380582127735997,0.7916018144595883,0.06209150326797386,KIF2A;CYTH1;DYNC1H1;KDELR2;GCC2;GOLGA4;NAA38;KIFAP3;ARFGAP3;ARF4;RAB9A;KDELR1;TMED9;CAPZB;TMED2;DCTN3;TGOLN2;RAB1B,wald_stat,Reactome_2022
Oncogenic MAPK Signaling R-HSA-6802957,1.3720989366441687,0.7960647941940812,0.08421052631578947,MAPK1;AKAP9;PPP1CC;ZC3HAV1;SND1;CSK;FXR1;CALM1;TLN1;AGK;IQGAP1,wald_stat,Reactome_2022
Interleukin-1 Signaling R-HSA-9020702,-1.3662047031608622,0.7214312264021754,0.04878048780487805,PSMB1;NFKBIA;MAP3K8;UBB;HMGB1;PSMB4;PSMA1;PSMD7;PSMA6;PSMA3;PSME2;S100B;PSME1;PSMB10,wald_stat,Reactome_2022
Late Phase Of HIV Life Cycle R-HSA-162599,-1.3622554590946316,0.6919676917659486,0.05825242718446602,POLR2J;UBB;POLR2K;GTF2A2;RAN;FURIN;RANBP1;CCNT1;POLR2G;POLR2E;TAF15,wald_stat,Reactome_2022
PTEN Regulation R-HSA-6807070,-1.3500953710649628,0.6966095082906689,0.015873015873015872,PSMB1;CSNK2B;CHD4;UBB;LAMTOR5;RBBP7;CBX4;PSMB4;LAMTOR1;MAF1;MKRN1;PSMA1;PSMD7;PSMA6;PSMA3,wald_stat,Reactome_2022
Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,-1.3424331057789851,0.6870773584782623,0.043478260869565216,VDAC1;NDUFA6;UQCRFS1;NDUFS8;COQ10B;COX5B;UQCRC2;NDUFS6;LDHA;COX6A1;NDUFB8;ATP5PF;ATP5F1C;NDUFB11;COX8A;BSG;COX4I1;ATP5F1D;COX6C;NDUFA13;UCP2;ATP5MF,wald_stat,Reactome_2022
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",1.3351507035800154,1.0,0.014028056112224449,CDC42SE2;KIF2A;TAGAP;CDKN1B;ARHGAP25;ARHGEF3;DYNC1H1;ARHGAP45;SPTAN1;KDM4C;PPP2R1A;KTN1;PHIP;MAPK1;ADD3;CCT2;FNBP1;MYH9;LBR;STK38;BUB3;STOM;PPP1CC;PPP2R5C;DEF6;ARHGEF1;ARHGAP30;RAP1GDS1;ITSN2;RHOH;LCK;IQGAP2;FMNL1;YWHAZ;CYFIP2;ARHGAP15;WIPF1;ARFGAP3;GNA13;ZAP70;HMOX2;NUDC;DOCK10;RAB9A;MYL12B;ABI1;CSK;CAPZB,wald_stat,Reactome_2022
Signaling By ROBO Receptors R-HSA-376176,-1.3240651306169384,0.7077169712825995,0.07936507936507936,PSMB1;RSL24D1;UBB;CDC42;PKN1;RBM8A;PSMB4;PFN1;PSMA1;PSMD7;PSMA6;PSMA3;MAGOH;RHOA;EIF4G1;CXCR4;PSME2;PSME1;PSMB10,wald_stat,Reactome_2022
Dual Incision In TC-NER R-HSA-6782135,-1.3218717518899317,0.6808732906860732,0.1292517006802721,POLR2J;UBB;POLR2K;XPA,wald_stat,Reactome_2022
ER-Phagosome Pathway R-HSA-1236974,-1.3207335126901953,0.6508318451507606,0.1111111111111111,PSMB1;UBB;HMGB1;PDIA3;SEC61G;PSMB4;PSMA1;PSMD7;PSMA6;TAPBP;PSMA3;VAMP8,wald_stat,Reactome_2022
Signaling By BRAF And RAF1 Fusions R-HSA-6802952,1.3157343179960606,1.0,0.12603062426383982,MAPK1;AKAP9;ZC3HAV1;SND1;CSK;FXR1;CALM1;TLN1;AGK;IQGAP1,wald_stat,Reactome_2022
Cellular Senescence R-HSA-2559583,1.305571893401444,1.0,0.10702702702702703,ETS1;CDKN1B;TNRC6B;UBA52;MAPK1;H1-4;H1-3;CABIN1;UBN1;ATM;ANAPC16;TINF2;EHMT1,wald_stat,Reactome_2022
Signaling By Rho GTPases R-HSA-194315,1.3029148574268699,1.0,0.02404809619238477,CDC42SE2;KIF2A;TAGAP;CDKN1B;ARHGAP25;ARHGEF3;DYNC1H1;ARHGAP45;SPTAN1;KDM4C;PPP2R1A;KTN1;PHIP;MAPK1;ADD3;CCT2;FNBP1;MYH9;LBR;STK38;BUB3;STOM;PPP1CC;PPP2R5C;DEF6;ARHGEF1;ARHGAP30;ITSN2;RHOH;LCK;IQGAP2;FMNL1;YWHAZ;CYFIP2;ARHGAP15;WIPF1;ARFGAP3;GNA13;ZAP70;HMOX2;NUDC;DOCK10;MYL12B;ABI1;CSK;CAPZB,wald_stat,Reactome_2022
Golgi-to-ER Retrograde Transport R-HSA-8856688,1.300057569130662,1.0,0.13853317811408614,KIF2A;DYNC1H1;KDELR2;KIFAP3;ARFGAP3;ARF4;KDELR1;TMED9;CAPZB;TMED2;DCTN3,wald_stat,Reactome_2022
Assembly Of Pre-Replicative Complex R-HSA-68867,-1.2969274333934158,0.7034503732079881,0.08641975308641975,PSMB1;UBB;H2AX;H2AZ1;PSMB4;UBE2S;PSMA1;PSMD7;PSMA6;PSMA3;PSME2;PSME1;H2AZ2;PSMB10;H3-3B;PSMD13,wald_stat,Reactome_2022
Opioid Signaling R-HSA-111885,1.29513517497044,1.0,0.12440758293838862,PPP3CC;GNG2;PPP2R1A;MAPK1;PPP1CA,wald_stat,Reactome_2022
Autophagy R-HSA-9612973,-1.2947557026691405,0.6802935465186005,0.13541666666666666,VDAC1;CSNK2B;UBB;LAMTOR5;GABARAPL2;DYNLL1;LAMTOR1;MAP1LC3B;PARK7;HSP90AA1;PRKAG1,wald_stat,Reactome_2022
RHO GTPase Cycle R-HSA-9012999,1.2871179288566743,1.0,0.04954499494438827,CDC42SE2;TAGAP;ARHGAP25;ARHGEF3;ARHGAP45;SPTAN1;KTN1;PHIP;ADD3;CCT2;FNBP1;LBR;STK38;STOM;DEF6;ARHGEF1;ARHGAP30;ITSN2;RHOH;LCK;IQGAP2;FMNL1;CYFIP2;ARHGAP15;WIPF1;ARFGAP3;GNA13;ZAP70;HMOX2;NUDC;DOCK10;ABI1;CSK;CAPZB,wald_stat,Reactome_2022
Ub-specific Processing Proteases R-HSA-5689880,-1.2810115709800514,0.7003883248234443,0.07017543859649122,VDAC1;PSMB1;TADA3;NFKBIA;VDAC2;UBB;ADRM1;PSMB4;PSMA1;OTUB1;PSMD7;PSMA6;PSMA3;BIRC2,wald_stat,Reactome_2022
RAC1 GTPase Cycle R-HSA-9013149,1.2805787424147355,1.0,0.13268608414239483,TAGAP;ARHGAP25;ARHGAP45;KTN1;LBR;DEF6;ARHGAP30;IQGAP2;FMNL1;CYFIP2;ARHGAP15;WIPF1;GNA13;DOCK10;ABI1,wald_stat,Reactome_2022
Respiratory Electron Transport R-HSA-611105,-1.2627558524095448,0.7437103116380069,0.046511627906976744,NDUFA6;UQCRFS1;NDUFS8;COQ10B;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;NDUFB11;COX8A;COX4I1;COX6C;NDUFA13,wald_stat,Reactome_2022
Translation R-HSA-72766,1.2572674952664855,1.0,0.128099173553719,EEF1D;EEF1A1;EIF4A2;EIF3A;FAU;UBA52;MRPS6;SRPRA;TRAM1;EIF3B;EIF4B;SPCS2;SPCS1;EIF3F;EIF3E;EIF3I;EEF2;EIF5B;MRPS7;EEF1B2;MRPS15;MRPL10;MRPL14;SRP14;RPN1;SPCS3;EIF3G;EIF3L,wald_stat,Reactome_2022
DNA Replication Pre-Initiation R-HSA-69002,-1.254239876749442,0.7441141814931356,0.10256410256410256,PSMB1;UBB;H2AX;H2AZ1;PSMB4;UBE2S;PSMA1;PSMD7;PSMA6;PSMA3;PSME2;PSME1;H2AZ2;PSMB10;H3-3B;PSMD13,wald_stat,Reactome_2022
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,-1.2485782263792615,0.7076308133441769,0.12781954887218044,NFKBIA;MAP3K8;UBB;HMGB1;FOS,wald_stat,Reactome_2022
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,-1.2485782263792615,0.7076308133441769,0.12781954887218044,NFKBIA;MAP3K8;UBB;HMGB1;FOS,wald_stat,Reactome_2022
COPI-mediated Anterograde Transport R-HSA-6807878,1.2434566579490745,1.0,0.18772136953955135,DYNC1H1;SPTAN1;KDELR2;ARFGAP3;ARF4;KDELR1;TMED9;CAPZB;TMED2;DCTN3,wald_stat,Reactome_2022
Membrane Trafficking R-HSA-199991,1.2379663973154342,1.0,0.09475806451612903,KIF2A;NEDD8;CYTH1;RAB14;VAMP2;DYNC1H1;SPTAN1;LNPEP;KDELR2;UBA52;GCC2;FNBP1;MYH9;DENND4C;HPS1;RAB27A;ADRB2;ITSN2;COPS6;GDI2;GOLGA4;NAA38;YWHAZ;DENND2D;KIFAP3;ARFGAP3;ARF4;RAB9A;KDELR1;TRAPPC1;TMED9;CAPZB,wald_stat,Reactome_2022
Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,1.2364246449745597,1.0,0.19582850521436848,DNAJB1;DEDD2;MAPK1;GSK3B;ATM;ST13;DNAJC2;HSPA8;RANBP2;HSPH1;HSPA5,wald_stat,Reactome_2022
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",1.2309615944232333,1.0,0.20524515393386544,EIF4A2;EIF3A;FAU;EIF3B;EIF4B;EIF3F;EIF3E;EIF3I;EIF3G;EIF3L;EIF2S3;EIF3H,wald_stat,Reactome_2022
Translation Initiation Complex Formation R-HSA-72649,1.2309615944232333,1.0,0.20524515393386544,EIF4A2;EIF3A;FAU;EIF3B;EIF4B;EIF3F;EIF3E;EIF3I;EIF3G;EIF3L;EIF2S3;EIF3H,wald_stat,Reactome_2022
Selective Autophagy R-HSA-9663891,-1.2305342847824456,0.7490382105150254,0.19631901840490798,VDAC1;CSNK2B;UBB;DYNLL1;MAP1LC3B;PARK7;HSP90AA1;PRKAG1,wald_stat,Reactome_2022
Organelle Biogenesis And Maintenance R-HSA-1852241,1.2238217082051754,1.0,0.17124735729386892,CYCS;ATP5PO;TUBA1A;DYNC1H1;SSNA1;PPP2R1A;CCT2;AKAP9;CEP78;CCT3,wald_stat,Reactome_2022
Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825,1.2213498339255402,1.0,0.20717592592592593,NEDD8;VAMP2;UBA52;ADRB2;ITSN2;COPS6,wald_stat,Reactome_2022
Ribosomal Scanning And Start Codon Recognition R-HSA-72702,1.218884214782325,1.0,0.20438799076212472,EIF4A2;EIF3A;FAU;EIF3B;EIF4B;EIF3F;EIF3E;EIF3I;EIF3G;EIF3L;EIF2S3;EIF3H,wald_stat,Reactome_2022
DAP12 Interactions R-HSA-2172127,1.2141729241260992,1.0,0.21785714285714286,FYN;KLRK1;LCK;HLA-E;PLCG2;KLRC2;GRB2,wald_stat,Reactome_2022
DNA Replication R-HSA-69306,-1.2103367780033616,0.8087974646399437,0.10810810810810811,PSMB1;UBB;H2AX;H2AZ1;PSMB4;UBE2S;PSMA1;PSMD7;PSMA6;PSMA3;PSME2;PSME1;H2AZ2;PSMB10;H3-3B;PSMD13,wald_stat,Reactome_2022
Chaperonin-mediated Protein Folding R-HSA-390466,1.2102723061645795,1.0,0.21076746849942726,TUBA1A;USP11;PFDN5;GNG2;CCT2;CCT3,wald_stat,Reactome_2022
G Alpha (I) Signaling Events R-HSA-418594,1.2077195090763966,1.0,0.20898876404494382,PPP3CC;GNG2;PPP2R1A;CX3CR1;MAPK1;PPP1CA,wald_stat,Reactome_2022
Developmental Biology R-HSA-1266738,-1.2056946421485202,0.800315784093039,0.001,PSMB1;ARPC3;RSL24D1;CSNK2B;CREBBP;POLR2J;UBB;CDC42;PKN1;POLR2K;RBM8A;RHOC;RBBP7;CAPNS1;MED30;H2AX;H2AZ1;PSMB4;AP2M1;FURIN;ACTG1;PFN1;ARPC1B;ROCK1;PSMA1;PSMD7;MYL6;HSP90AA1;VAV3;PSMA6;ARPC2;PSMA3;LYN;MAGOH;POLR2G;RHOA;EIF4G1;CXCR4;DRAP1;POLR2E,wald_stat,Reactome_2022
Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,-1.204530119294449,0.7789519631433769,0.16216216216216217,ARPC3;CDC42;PKN1;BRK1;ACTG1;ARPC1B;HSP90AA1;VAV3;ARPC2,wald_stat,Reactome_2022
