Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	DNA Repair	75/150	2.567730e-07	1.167150e-06	0	0	2.334453e+00	3.542550e+01	FEN1;ARL6IP1;ELL;GTF2B;POLB;SEC61A1;PNP;CLP1;PDE4B;REV3L;ELOA;DGCR8;NELFB;POLL;POLH;RFC5;RFC4;LIG1;NME4;VPS37B;GTF2F1;NT5C3A;DDB1;RRM2B;NFX1;POLR1C;CMPK2;HCLS1;HPRT1;UMPS;EIF1B;POM121;RALA;TSG101;CANT1;GTF3C5;CSTF3;PRIM1;USP11;GMPR2;DCTN4;TAF9;AK3;XPC;AAAS;POLD3;ZNF707;POLR2A;TAF1C;POLR2D;RAE1;SF3A3;BCAP31;DUT;BRF2;TAF13;ALYREF;TAF10;GTF2H1;SSRP1;SUPT5H;GTF2H3;SMAD5;TARBP2;NUDT9;POLA1;NUDT21;POLA2;ERCC3;AGO4;POLR3C;ERCC4;IMPDH2;ERCC5;TAF6
MSigDB_Hallmark_2020	Interferon Gamma Response	94/200	3.529419e-07	1.470591e-06	0	0	2.072171e+00	3.078617e+01	OGFR;SAMD9L;BTG1;EIF4E3;SPPL2A;TNFAIP3;ADAR;IFIT2;ICAM1;IL18BP;OASL;IFIH1;CASP7;PNP;CASP8;CASP3;PIM1;PDE4B;TRIM25;CD38;TRIM26;ITGB7;JAK2;TRIM21;CMTR1;HERC6;CMKLR1;ZBP1;IL4R;SP110;RIPK2;NCOA3;HLA-B;TAP1;TRAFD1;ARID5B;HLA-A;TAPBP;NUP93;LATS2;MTHFD2;OAS2;IRF4;IRF1;TRIM14;TXNIP;CMPK2;XCL1;LCP2;LAP3;RAPGEF6;RNF31;MVP;NLRC5;NOD1;DDX60;SAMHD1;HIF1A;RNF213;APOL6;SOCS1;SLC25A28;ST8SIA4;STAT4;ISOC1;SLAMF7;RIPK1;GBP4;PTPN1;PNPT1;GCH1;AUTS2;STAT1;STAT2;IL10RA;MX2;STAT3;LYSMD2;EIF2AK2;TDRD7;PARP14;TOR1B;PARP12;NFKB1;PML;NFKBIA;ZNFX1;IL2RB;FAS;CD69;XAF1;GPR18;MYD88;PFKP
MSigDB_Hallmark_2020	p53 Pathway	92/200	1.510401e-06	5.809235e-06	0	0	1.989568e+00	2.666645e+01	CYFIP2;RB1;CCNK;BTG2;CSRNP2;BTG1;CD81;CCP110;PITPNC1;SEC61A1;HINT1;CCND2;SESN1;KIF13B;RACK1;NUDT15;IER5;HRAS;POLH;ZNF365;TSPYL2;TSC22D1;APAF1;FBXW7;ABCC5;F2R;DNTTIP2;TAP1;TRAFD1;IRAG2;AEN;FOS;CGRRF1;PRKAB1;WRAP73;RAP2B;TRAF4;DDIT3;TXNIP;TRIB3;ANKRA2;ATF3;PPP1R15A;POM121;NOTCH1;SLC35D1;RETSAT;ABHD4;EI24;RGS16;PDGFA;NOL8;XPC;SLC3A2;FOXO3;PPM1D;NDRG1;TOB1;CDKN2AIP;ZFP36L1;LDHB;SERTAD3;SOCS1;IRAK1;ZMAT3;PERP;MKNK2;STOM;EPS8L2;BAK1;RALGDS;IP6K2;HEXIM1;JUN;TGFB1;PMM1;CDKN2A;PLK2;FUCA1;ELP1;WWP1;DEF6;H1-2;SP1;CCNG1;MDM2;TNFSF9;FAS;ERCC5;COQ8A;MXD1;MXD4
MSigDB_Hallmark_2020	Apoptosis	77/161	1.694130e-06	6.050465e-06	0	0	2.139248e+00	2.842706e+01	BTG3;BTG2;CDKN1B;PRF1;HSPB1;FASLG;ENO2;CLU;CASP7;CCND2;CASP8;CASP3;PEA15;CD38;CASP2;DNM1L;SPTAN1;BNIP3L;DFFA;IFNGR1;F2R;PPP2R5B;TAP1;CDC25B;RHOB;DNAJC3;TGFBR3;DDIT3;IRF1;MADD;DPYD;RARA;VDAC2;TXNIP;ETF1;SQSTM1;PLCB2;ATF3;CD44;DAP3;RNASEL;RETSAT;DIABLO;SATB1;SLC20A1;XIAP;NEDD9;BCL10;ADD1;RELA;PPP3R1;RHOT2;BCL2L11;ANKH;LMNA;ERBB2;PMAIP1;SC5D;MCL1;BCAP31;JUN;CREBBP;GADD45B;GCH1;GSR;CFLAR;IGF2R;SMAD7;DNAJA1;CYLD;DAP;WEE1;PPT1;PDCD4;FAS;CTNNB1;CD69
MSigDB_Hallmark_2020	UV Response Dn	70/144	2.369486e-06	7.898287e-06	0	0	2.206572e+00	2.858137e+01	PHF3;CDKN1B;CITED2;CELF2;ITGB3;PTEN;PTPRM;PIK3CD;PRDM2;NR3C1;IGF1R;SYNE1;NIPBL;SIPA1L1;ZMIZ1;SLC22A18;AKT3;PIAS3;ABCC1;MIOS;SFMBT1;DUSP1;BCKDHB;ATRX;DYRK1A;PRKCA;RUNX1;TGFBR2;TGFBR3;ATRN;ARHGEF9;RASA2;NOTCH2;YTHDC1;INSIG1;GCNT1;MRPS31;CACNA1A;PIK3R3;ADD3;ATP2C1;SLC7A1;SCAF8;ATXN1;MTA1;GRK5;PRKAR2B;ERBB2;SPOP;TOGARAM1;FYN;PDLIM5;LDLR;MAP2K5;DMAC2L;SMAD3;NEK7;ATP2B4;NR1D2;ATP2B1;MAPK14;NFKB1;PEX14;SMAD7;DLG1;BHLHE40;ID1;AGGF1;CDK13;BMPR1A
MSigDB_Hallmark_2020	TGF-beta Signaling	32/54	8.472622e-06	2.647694e-05	0	0	3.384074e+00	3.952149e+01	PPP1R15A;BMPR2;SLC20A1;HDAC1;XIAP;ARID4B;FURIN;THBS1;FNTA;JUNB;MAP3K7;SKIL;SPTBN1;TGIF1;KLF10;TGFB1;SMAD3;SMURF2;SMURF1;TGFBR1;RHOA;SMAD7;HIPK2;NCOR2;SKI;CDK9;APC;ID1;CTNNB1;TRIM33;ENG;BMPR1A
MSigDB_Hallmark_2020	Androgen Response	51/100	9.902653e-06	2.912545e-05	0	0	2.424508e+00	2.793690e+01	TNFAIP8;B4GALT1;NGLY1;ELK4;ZMIZ1;ADAMTS1;AKT1;ITGAV;FADS1;TPD52;GUCY1A1;HMGCS1;TSC22D1;ELOVL5;ACTN1;NCOA4;ARID5B;ACSL3;PIAS1;FKBP5;IDI1;SLC26A2;HPGD;INSIG1;ABHD2;SRF;STK39;GNAI3;UAP1;HMGCR;IQGAP2;NDRG1;UBE2J1;LMAN1;ANKH;DNAJB9;PTK2B;PDLIM5;XRCC6;XRCC5;TMEM50A;GSR;ZBTB10;DHCR24;ELL2;SPCS3;CDK6;APPBP2;CENPN;GPD1L;SEC24D
MSigDB_Hallmark_2020	Allograft Rejection	88/200	2.187454e-05	6.076262e-05	0	0	1.833333e+00	1.967201e+01	ITK;ITGB2;PRF1;LY75;UBE2D1;CD3G;FASLG;CD3E;ITGAL;CD3D;ETS1;ICAM1;IL27RA;IKBKB;MRPL3;CCND2;IL18RAP;AKT1;JAK2;MAP3K7;MAP4K1;TPD52;CD96;RARS1;IL4R;PRKCB;IFNGR1;RIPK2;F2R;TAP2;TAP1;IL16;TRAF2;HLA-A;DARS1;HLA-E;TAPBP;TLR1;NCR1;ZAP70;CD8B;IFNG;CD8A;LCK;IRF4;ELF4;HCLS1;LCP2;CD47;LTB;AARS1;GCNT1;WAS;CAPG;MTIF2;BCL10;IL2RG;HIF1A;HDAC9;SOCS1;CXCR3;ST8SIA4;STAT4;FLNA;CSK;APBB1;GBP2;SOCS5;LYN;NPM1;FYB1;TGFB1;STAT1;CDKN2A;GALNT1;CRTAM;PTPRC;ABI1;BCL3;IL2RB;UBE2N;FAS;DEGS1;ABCE1;EIF4G3;EIF3D;EIF3A;PF4
MSigDB_Hallmark_2020	UV Response Up	71/158	5.773076e-05	1.519230e-04	0	0	1.902205e+00	1.856499e+01	H2AX;BTG3;FEN1;BTG2;ALAS1;BTG1;TFRC;AMD1;HNRNPU;ENO2;ICAM1;GLS;PPAT;CASP3;PRKACA;JUNB;STARD3;RFC4;DGAT1;PARP2;PRKCD;SIGMAR1;TAP1;FOS;HLA-F;TUBA4A;RHOB;CDC34;POLG2;PRPF3;IRF1;PPIF;TMBIM6;FKBP4;ALDOA;TARS1;SQSTM1;ATF3;NUP58;ABCB1;RPN1;TGFBRAP1;CEBPG;DDX21;WIZ;FURIN;RASGRP1;HSPA13;RXRB;CYB5R1;STIP1;NXF1;PPP1R2;DNAJB1;BCL2L11;GRPEL1;BAK1;YKT6;ATP6V1C1;MARK2;LYN;GCH1;ASNS;CDC5L;NFKBIA;DNAJA1;EIF2S3;EIF5;STK25;AGO2;PPT1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	86/200	7.403725e-05	1.850931e-04	0	0	1.759388e+00	1.673343e+01	BTG3;BTG2;TNFAIP8;BTG1;B4GALT1;PLEK;TNFAIP3;SLC2A3;LITAF;ICAM1;IFIT2;IFIH1;PANX1;ZFP36;ZC3H12A;SLC16A6;PDE4B;MAP3K8;JUNB;IER5;PHLDA1;IER2;KLF10;TGIF1;DUSP5;DUSP2;TSC22D1;DUSP1;RIPK2;TAP1;FOS;TRAF1;RHOB;IRF1;SQSTM1;ATF3;CD44;BIRC2;B4GALT5;PTGER4;PPP1R15A;NFAT5;RELA;RELB;NFIL3;DNAJB4;MSC;PDLIM5;LDLR;MCL1;STAT5A;EGR1;JUN;SMAD3;GADD45B;GCH1;TIPARP;PLK2;ZBTB10;CFLAR;ATP2B1;NFKB1;PNRC1;KLF2;FOSL2;NFKB2;EHD1;NFKBIA;NR4A2;PER1;RCAN1;KLF6;NR4A3;TNIP1;CLCF1;MAFF;BHLHE40;BCL3;KLF9;REL;TNFSF9;CD69;NFKBIE;IL7R;MXD1;NFE2L2
