feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,0.8550634270757111,-0.0016531442819299501,0.026546246783649786,-0.8390435581613022,0.4014448670172841,
A2M,1.5422084992210474,0.002235053063133555,0.040409970203359825,0.624241619175465,0.5324689180019955,0.9003430450690588
A2M-AS1,10.393633914013988,0.00231379564277666,0.02974967549119384,0.6156721660906973,0.5381109111739922,0.9021614743286094
AAAS,7.1784686367616155,-9.657613971790907e-05,0.040134544728220124,-0.014771229734210295,0.9882146924237531,0.9979302889764701
AACS,0.6077297961567738,0.0014973422361828472,0.04620077031276573,0.9807577462144832,0.3267122196210859,
AAGAB,10.65199606912492,0.008989300918715432,0.04023496600975886,2.5310057925207006,0.011373597028296175,0.3244436054032615
AAK1,90.6723001845709,0.027193613195811567,0.07134687037006708,1.7435748924694148,0.0812332445401717,0.5995451019711195
AAMDC,1.3422066696332056,0.0014529616637865173,0.05005668063405653,1.2870742190557847,0.19806842038145622,0.7376405416273036
AAMP,25.16756896612453,0.0073238918586598254,0.045259759579604895,0.803560014199741,0.42165112381649905,0.8620494161127902
AAR2,8.5129067383213,0.001067635585004775,0.060445930065402054,0.42714887995285267,0.6692708925051418,0.9421215829552447
AARS1,3.6115181479438974,0.003353170599948184,0.0344212430316444,1.2860507769863274,0.19842534119570943,0.7376907104847052
AARS2,1.0615381216251827,0.00036439150491944825,0.03181540921068129,-0.08408767955626864,0.9329867202399248,0.9928062675888099
AARSD1,9.751966179710827,0.0022401982714546267,0.04979360852721414,0.9210048971035353,0.35704787029116325,0.8340561198679272
AASDH,2.8871522244824654,0.0005765353128470515,0.02333553817914234,0.39577261356105836,0.6922727818843886,0.9491987084778333
AASDHPPT,15.00104991492653,0.0013590182768982609,0.04140435914348658,0.36534682615193803,0.714852528356006,0.9548451859060991
AASS,0.3530055478089005,-0.0003637382647152903,0.059496023693519466,-0.4895009563162226,0.6244870776574978,
AATF,33.249179507616695,0.008742183555794134,0.06059035623752148,1.1494545540575472,0.250368595940861,0.7766817336506086
ABALON,0.09093108537303383,6.161904594448142e-05,0.13174827662495078,0.1738105590167992,0.8620143458115129,
ABAT,0.5111914777308575,0.000320730001417438,0.05921628543909339,0.496200793866041,0.619752750964663,
ABCA2,21.537017466845374,0.0074405648846406665,0.18120361772149574,1.417776210631318,0.1562561117109021,0.7018694231589615
ABCA3,1.0919632251693183,0.00042047516660806487,0.03164452264630883,-0.3601618096463635,0.7187261324031737,0.9550894934597819
ABCA5,4.663090836797877,9.073584629404257e-05,0.029167147887817192,0.04211741129108315,0.9664051002829567,0.9962436740887287
ABCA7,3.481439648830728,0.002041232292976942,0.0300981668836985,1.2484255266726219,0.21187526566978954,0.7505756388093671
ABCB1,23.616918030507048,-0.014875002219528881,0.04878608042790208,-1.8474035700801341,0.06468867217182707,0.5594929360871087
ABCB10,1.452060065216964,0.0014306280472855706,0.07987846341261552,0.585622066816047,0.5581295159881569,0.9083675273111373
ABCB7,5.409737945378256,0.002560905448296615,0.09578578341331372,0.5920343167526657,0.5538276089487175,0.9060473637681221
ABCB8,5.807989968175227,0.00744296348107828,0.1230187926254637,3.9234647815367936,8.728453002459737e-05,0.04119344903105304
ABCC1,2.959651716466789,0.0023688333336546615,0.037082465391813195,0.696545577086537,0.48608722483250066,0.8903214693730257
ABCC10,5.186173178736126,0.00560210531371838,0.03103416550664399,1.5517529550834706,0.12072134651940669,0.6634240586024927
ABCC4,0.5379600769091265,0.0007493057742335047,0.04087291188981413,0.2521426117712263,0.8009308342825346,
ABCC5,3.576413625058243,0.0027679611055914564,0.02376500239048547,1.0815146735103005,0.279468237106567,0.7950712237844229
ABCD1,0.6468131391666013,0.00016940143789469418,0.031154152828106067,0.06565639119327275,0.9476513922435618,
ABCD2,0.7479190562562892,0.001559299719093374,0.035717237994903374,0.49175075676170077,0.6228955519142776,
ABCD3,6.033687940158717,0.005177499079680392,0.03613789259426729,2.1389223342679653,0.03244195890265732,0.46588002393126166
ABCD4,11.976311955830585,0.0031781769049752757,0.029977582803681988,0.7753871588831273,0.43811092066773183,0.8716047473237428
ABCE1,6.762068060644254,0.0023047462473025433,0.03699074730693276,0.6971486206885561,0.48570978914024043,0.8901444964799886
ABCF1,40.02611727651924,-0.01330438852780733,0.05357007283004993,-1.0596004303740507,0.28932641773620527,0.8033081072366957
ABCF2,5.934835806249338,-0.0019296679729421857,0.0356060700395407,-0.5629130129499893,0.5734941186624232,0.9110489944460896
ABCF3,8.030960770548782,0.0029766190822527096,0.03145703043802444,0.9169127208292635,0.35918837750657506,0.8346822790601032
ABCG1,1.003844780395693,-0.0019861432064791776,0.104118754770488,-0.44401496593419437,0.6570317637211744,0.937434469736543
ABHD10,3.0618361388737307,0.002797526126108508,0.03472976303351021,0.8392378595798239,0.4013358459938381,0.8529661095591459
ABHD11,3.391736435228012,0.0006556398821820685,0.07265832276969193,0.40330556652958316,0.6867234472016324,0.9473351119786187
ABHD12,17.51677041381192,0.006225967270714686,0.04824988966263522,1.1122223379028418,0.2660425657758093,0.7855837504820867
ABHD13,8.757629887254845,-0.011989294817751565,0.3000921805202189,-2.9198114651100124,0.00350243205804295,0.22039378024499895
ABHD14A,27.296778342300616,0.021219196623434647,0.06286965117424541,2.200048733119101,0.027803437637223725,0.4507446616950678
ABHD14B,27.88571035427007,0.012956886368613222,0.0511774169706575,2.5999331342192162,0.009324192677029374,0.3094102218412677
ABHD15,11.514507298459206,-0.005630925388965052,0.043845481855266946,-1.5140487582150182,0.1300134735315288,0.6748328151321576
ABHD16A,14.248184710209085,0.0028652936441660474,0.030580856064101422,0.7033502235186203,0.4818375188099573,0.8867438739797633
ABHD17A,300.8481147772078,0.018050781431231806,0.08076275641245566,1.338541633957213,0.18071993788223484,0.7232892916874183
ABHD17B,5.15944127548592,0.0014280294615694085,0.03916462031491018,0.678376113544703,0.49753325023652284,0.8927600824738553
ABHD17C,0.48809441819004296,0.0008904964205161063,0.05480759332983603,0.5861412947912388,0.5577805679534927,
ABHD18,5.756665732280845,0.0016851029209054825,0.13783051320413664,0.5752771521419636,0.5651038711897178,0.910058272181356
ABHD2,23.64631481340565,0.006068483454308395,0.045020499246310255,0.8952963905141866,0.3706286692985852,0.8408898278496746
ABHD3,13.776647695115779,0.004163569578756096,0.03838572124892984,0.8843841565586799,0.3764888726190049,0.843731434506792
ABHD4,5.35117188212833,0.003861818429693248,0.06356282577757758,0.9558584976855751,0.33914372926194314,0.8278810287586801
ABHD5,6.4790355183603845,0.0017794449054131026,0.05114412700736481,0.8947397049860676,0.37092624852324296,0.8408898278496746
ABHD6,1.7291510069132876,0.001967014320484223,0.03438228289584732,0.7066647618191796,0.47977483290098344,0.8850490324035067
ABHD8,0.668653352310533,0.0011528294353375889,0.02684688280678998,1.0646203595669876,0.2870477627173482,
ABI1,42.69548956831149,0.011767026895986785,0.07022867591306116,1.1080072816967823,0.2678586711429145,0.7855837504820867
ABI2,5.363855005456207,0.002289586879116449,0.025500501592185008,0.9779469525455253,0.32810056131605336,0.820734472432236
ABI3,106.59837448400742,0.011593847068330183,0.05358773516635221,1.0477650687691742,0.2947468600442372,0.807569373169456
ABITRAM,0.16968575643129571,0.00045106107500467803,0.05588231309863515,0.21392746022507955,0.8306036257449299,
ABL1,3.5532944618140405,0.0015326025715590452,0.030424151592480603,0.3300847290832293,0.741335941603868,0.9593074077497945
ABL2,1.1789501778374878,-0.0006087753767148279,0.031810821248478366,-0.42138979192772114,0.6734704720530842,0.9436656548138547
ABLIM1,21.22854298737002,-0.005247708911408333,0.09146734607826366,-1.7237771761133702,0.08474807643961556,0.6083274943376662
ABR,12.59259350825145,0.005020245205649644,0.057651374806177255,1.2513218129813248,0.21081709029356555,0.7504438800919597
ABRACL,35.82766960345078,0.006343385757679466,0.03518080153303205,0.97568776752901,0.3292192158970729,0.8212016715137858
ABRAXAS1,1.559913301766959,0.00035525549608341253,0.04328468981732136,0.20472161583306692,0.8377896310877,0.976798815225138
ABRAXAS2,2.9905825805286392,0.0017482692139606376,0.028766476016581003,0.6714790585001414,0.5019153958053825,0.8927600824738553
ABT1,34.33654484270134,-0.05217729928992747,0.05942384948078783,-2.424334981156401,0.01533645160447093,0.35850732915160644
ABTB1,30.542532763739313,-0.004595182237402092,0.04986193077666968,-0.46431977756810383,0.6424186562825008,0.9289425848806458
ABTB3,0.218802892086408,5.922678099420254e-05,0.1194389475426665,0.0664962521318492,0.9469827414729749,
ACAA1,29.282282616596422,0.019219418081788873,0.06409342871376027,1.8726807484090695,0.06111248335282764,0.5466121681631502
ACAA2,53.00655230340207,0.0014344172793364879,0.07023952408736071,0.11882510545293265,0.9054139183186589,0.9917228009055143
ACACA,1.2513194556424818,0.0010536776084212815,0.030346913245492747,0.4814434757043333,0.630201343754403,0.9278669907476799
ACAD10,0.41709315543869796,-0.00017657108994950245,0.061960652708689085,-0.03322125557769115,0.9734981479765957,
ACAD11,0.9651899845167878,8.019172161233688e-05,0.06042634826267489,-0.616912688300881,0.5372923172538662,0.9018816614328411
ACAD8,6.180981548742343,0.0005583877564414149,0.0322497335696294,0.20684168485048646,0.8361335002390301,0.976798815225138
ACAD9,3.0504853854793157,0.004203748216960258,0.025584010144539385,2.752356151363878,0.005916813417569547,0.26454384201185943
ACADM,9.65959690270117,0.0009625162354499715,0.06701493115444547,0.29583548775812074,0.7673557200521381,0.9659389662201049
ACADS,7.051553587697797,0.0004026870057381461,0.02583358900582486,0.16747043522882898,0.8669999082577986,0.9828679834452354
ACADSB,4.803131231130165,0.0034640927944865037,0.025222980693142955,1.24991835590699,0.2113293732934287,0.7504438800919597
ACADVL,59.50750187561264,-0.0024595133763630193,0.19595041296373103,-0.19486361588974377,0.845499718443276,0.9778061457222121
ACAP1,107.87192125734352,-0.003414391983097011,0.06795035206907597,-0.2930928738259285,0.7694511635819854,0.9666500494866852
ACAP2,49.58048391732859,0.017603668116243636,0.06851972342585351,1.5441760055760358,0.12254569996884118,0.666775845120721
ACAP3,1.8892792821315187,-0.0003158038131205435,0.09134037865031883,-0.26250959551895225,0.7929285885358028,0.9717942010940404
ACAT1,5.610264272982018,0.0036245952714436544,0.02718738543145795,1.3393152746151344,0.1804680582146686,0.7232892916874183
ACAT2,11.364081888804487,0.0009932285535764556,0.15039466150014874,0.24724646313481255,0.8047174888645977,0.9729352377105387
ACBD3,11.776232444563322,0.005474900045061187,0.02962337076316244,1.5421792440743023,0.12303004241211893,0.666775845120721
ACBD4,0.2841500264767616,0.0008534672406151654,0.06644096033002792,0.4889200084658136,0.6248983296648261,
ACBD5,15.893246631038055,0.0020285701858158947,0.043640743064769186,0.41814634398394884,0.675840122882577,0.9436656548138547
ACBD6,14.146459620915516,0.008737153641494556,0.2073471929056275,2.6535748500252483,0.00796441044385211,0.2870896489496977
ACCS,0.6537232254319562,0.00018793418519516967,0.03429994605224753,0.04656058894651395,0.9628634434075328,
