Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
TNF-alpha Signaling via NF-kB,-0.7703006495654786,0.8545347467608951,0.9090909090909091,NFKBIA;MAP3K8;GADD45B;CD44;MAFF;FOS;FOSL2;ID2;ZFP36;IRF1;IFIT2;IER3;BIRC2,wald_stat,MSigDB_Hallmark_2020
Interferon Gamma Response,0.7568762915702678,1.0,0.8746145940390545,IL10RA;ISG20;RNF213;STAT4;KLRK1;PIM1;SP110;EIF2AK2;CASP8;XAF1;HIF1A;CD74;PTPN1;ISG15;STAT1;RBCK1;BTG1;CASP4;SOCS1,wald_stat,MSigDB_Hallmark_2020
Apical Junction,0.7180615230619991,1.0,0.8556701030927835,PTPRC;MYH9;TIAL1;MYL12B;EVL;FYB1;RHOF;ICAM2;RAC2;CNN2;CAP1;VASP,wald_stat,MSigDB_Hallmark_2020
E2F Targets,0.7096393368650866,1.0,0.883442265795207,CDKN1B;LBR;PSIP1;PNN;NAA38;LUC7L3;PRKDC;SNRPB;HNRNPD;PA2G4;DNMT1,wald_stat,MSigDB_Hallmark_2020
Protein Secretion,0.7089603825268757,1.0,0.8605927552140505,RAB14;MAPK1;GOLGA4;ARFGAP3;RAB9A;NAPA;TMED2,wald_stat,MSigDB_Hallmark_2020
PI3K/AKT/mTOR  Signaling,0.6485603788049296,1.0,0.9330406147091108,CDKN1B;MAPK1;PPP1CA;LCK;GSK3B,wald_stat,MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling,0.6401566843005254,1.0,0.9136939010356732,PIM1;ITGA4;IL18R1;PTPN1;GRB2;STAT1;SOCS1;LTB;IL2RG,wald_stat,MSigDB_Hallmark_2020
UV Response Up,0.5957801100997214,1.0,0.9669239250275634,RASGRP1;DNAJB1;RAB27A;HNRNPU;CCND3;PSMC3;PPP1R2;RPN1;SELENOW;BTG1;BTG2;EIF2S3,wald_stat,MSigDB_Hallmark_2020
Interferon Alpha Response,0.5882490841042463,1.0,0.960308710033076,ISG20;SP110;EIF2AK2;CASP8;CD74;SAMD9;ISG15,wald_stat,MSigDB_Hallmark_2020
Adipogenesis,0.5442127552413647,1.0,0.9806451612903225,ATP5PO;STOM;CMPK1;G3BP2,wald_stat,MSigDB_Hallmark_2020
Xenobiotic Metabolism,0.5174049259035403,1.0,0.9802555168408827,PTGES3;CYFIP2;PTGDS;DCXR,wald_stat,MSigDB_Hallmark_2020
Estrogen Response Late,0.4780428807235614,0.9945511740253904,0.987485779294653,ISG20;ADD3,wald_stat,MSigDB_Hallmark_2020
