Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Dermatan Sulfate Proteoglycan Metabolic Process (GO:0050655)	1/5	2.996653e-03	2.283656e-02	0	0	4.541818e+02	2.638914e+03	DSE
GO_Biological_Process_2023	Astrocyte Differentiation (GO:0048708)	1/5	2.996653e-03	2.283656e-02	0	0	4.541818e+02	2.638914e+03	S100A9
GO_Biological_Process_2023	Autocrine Signaling (GO:0035425)	1/5	2.996653e-03	2.283656e-02	0	0	4.541818e+02	2.638914e+03	S100A9
GO_Biological_Process_2023	Negative Regulation Of Cell Size (GO:0045792)	1/5	2.996653e-03	2.283656e-02	0	0	4.541818e+02	2.638914e+03	RDX
GO_Biological_Process_2023	Regulation Of Gene Expression (GO:0010468)	4/1127	3.446630e-03	2.412595e-02	0	0	8.399377e+00	4.762748e+01	RDX;HMGA1;AHR;LIMS1
GO_Biological_Process_2023	Regulation Of Hemoglobin Biosynthetic Process (GO:0046984)	1/6	3.594998e-03	2.412595e-02	0	0	3.633273e+02	2.044883e+03	SLC25A37
GO_Biological_Process_2023	Positive Regulation Of Striated Muscle Contraction (GO:0045989)	1/6	3.594998e-03	2.412595e-02	0	0	3.633273e+02	2.044883e+03	GSTO1
GO_Biological_Process_2023	Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)	2/152	3.602518e-03	2.412595e-02	0	0	2.645067e+01	1.488147e+02	S100A9;S100A8
GO_Biological_Process_2023	Positive Regulation Of Response To External Stimulus (GO:0032103)	2/155	3.742864e-03	2.432861e-02	0	0	2.592810e+01	1.448838e+02	S100A9;S100A8
GO_Biological_Process_2023	Monosaccharide Biosynthetic Process (GO:0046364)	1/7	4.193015e-03	2.504477e-02	0	0	3.027576e+02	1.657396e+03	DSE
GO_Biological_Process_2023	Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316)	1/7	4.193015e-03	2.504477e-02	0	0	3.027576e+02	1.657396e+03	GSTO1
GO_Biological_Process_2023	Dermatan Sulfate Proteoglycan Biosynthetic Process (GO:0050651)	1/7	4.193015e-03	2.504477e-02	0	0	3.027576e+02	1.657396e+03	DSE
GO_Biological_Process_2023	Regulation Of Protein Localization To Early Endosome (GO:1902965)	1/8	4.790703e-03	2.582306e-02	0	0	2.594935e+02	1.385975e+03	RDX
GO_Biological_Process_2023	Positive Regulation Of Protein Localization To Early Endosome (GO:1902966)	1/8	4.790703e-03	2.582306e-02	0	0	2.594935e+02	1.385975e+03	RDX
GO_Biological_Process_2023	Positive Regulation Of Protein Localization To Endosome (GO:1905668)	1/8	4.790703e-03	2.582306e-02	0	0	2.594935e+02	1.385975e+03	RDX
GO_Biological_Process_2023	Positive Regulation Of Early Endosome To Late Endosome Transport (GO:2000643)	1/8	4.790703e-03	2.582306e-02	0	0	2.594935e+02	1.385975e+03	RDX
GO_Biological_Process_2023	Negative Regulation Of Necroptotic Process (GO:0060546)	1/9	5.388063e-03	2.597459e-02	0	0	2.270455e+02	1.185988e+03	PELI1
GO_Biological_Process_2023	Chondroitin Sulfate Proteoglycan Metabolic Process (GO:0050654)	1/9	5.388063e-03	2.597459e-02	0	0	2.270455e+02	1.185988e+03	DSE
GO_Biological_Process_2023	Iron Ion Transmembrane Transport (GO:0034755)	1/9	5.388063e-03	2.597459e-02	0	0	2.270455e+02	1.185988e+03	SLC25A37
GO_Biological_Process_2023	Positive Regulation Of Protein Metabolic Process (GO:0051247)	2/196	5.911685e-03	2.597459e-02	0	0	2.040619e+01	1.047006e+02	SLC25A37;RDX
GO_Biological_Process_2023	Regulation Of Programmed Necrotic Cell Death (GO:0062098)	1/10	5.985094e-03	2.597459e-02	0	0	2.018081e+02	1.032951e+03	PELI1
GO_Biological_Process_2023	Negative Regulation Of Homotypic Cell-Cell Adhesion (GO:0034111)	1/10	5.985094e-03	2.597459e-02	0	0	2.018081e+02	1.032951e+03	RDX
GO_Biological_Process_2023	Cellular Response To Forskolin (GO:1904322)	1/10	5.985094e-03	2.597459e-02	0	0	2.018081e+02	1.032951e+03	AHR
GO_Biological_Process_2023	Negative Regulation Of Programmed Necrotic Cell Death (GO:0062099)	1/10	5.985094e-03	2.597459e-02	0	0	2.018081e+02	1.032951e+03	PELI1
GO_Biological_Process_2023	Response To Forskolin (GO:1904321)	1/10	5.985094e-03	2.597459e-02	0	0	2.018081e+02	1.032951e+03	AHR
GO_Biological_Process_2023	Defense Response To Bacterium (GO:0042742)	2/204	6.388364e-03	2.597459e-02	0	0	1.959010e+01	9.899420e+01	S100A9;S100A8
GO_Biological_Process_2023	Regulation Of Homotypic Cell-Cell Adhesion (GO:0034110)	1/11	6.581796e-03	2.597459e-02	0	0	1.816182e+02	9.123494e+02	RDX
GO_Biological_Process_2023	Cellular Response To Thyroid Hormone Stimulus (GO:0097067)	1/11	6.581796e-03	2.597459e-02	0	0	1.816182e+02	9.123494e+02	RDX
GO_Biological_Process_2023	Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051280)	1/11	6.581796e-03	2.597459e-02	0	0	1.816182e+02	9.123494e+02	GSTO1
GO_Biological_Process_2023	Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060315)	1/11	6.581796e-03	2.597459e-02	0	0	1.816182e+02	9.123494e+02	GSTO1
GO_Biological_Process_2023	Positive Regulation Of Cytoplasmic Transport (GO:1903651)	1/11	6.581796e-03	2.597459e-02	0	0	1.816182e+02	9.123494e+02	RDX
GO_Biological_Process_2023	Regulation Of GTPase Activity (GO:0043087)	2/214	7.008264e-03	2.643960e-02	0	0	1.865660e+01	9.254917e+01	RDX;LIMS1
GO_Biological_Process_2023	Positive Regulation Of Integrin-Mediated Signaling Pathway (GO:2001046)	1/12	7.178171e-03	2.643960e-02	0	0	1.650992e+02	8.150469e+02	LIMS1
GO_Biological_Process_2023	Regulation Of Actin Filament Organization (GO:0110053)	1/12	7.178171e-03	2.643960e-02	0	0	1.650992e+02	8.150469e+02	RDX
GO_Biological_Process_2023	Response To Thyroid Hormone (GO:0097066)	1/12	7.178171e-03	2.643960e-02	0	0	1.650992e+02	8.150469e+02	RDX
GO_Biological_Process_2023	Cellular Response To Arsenic-Containing Substance (GO:0071243)	1/13	7.774217e-03	2.799444e-02	0	0	1.513333e+02	7.350173e+02	GSTO1
GO_Biological_Process_2023	Regulation Of Cell Growth (GO:0001558)	2/227	7.853643e-03	2.799444e-02	0	0	1.756711e+01	8.514388e+01	S100A9;S100A8
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	2/236	8.464770e-03	2.969387e-02	0	0	1.688376e+01	8.056665e+01	S100A9;S100A8
GO_Biological_Process_2023	Astrocyte Development (GO:0014002)	1/15	8.965327e-03	3.062096e-02	0	0	1.297013e+02	6.114626e+02	S100A9
GO_Biological_Process_2023	Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)	2/246	9.168332e-03	3.062096e-02	0	0	1.618361e+01	7.593348e+01	S100A9;S100A8
GO_Biological_Process_2023	Protein Kinase A Signaling (GO:0010737)	1/16	9.560390e-03	3.062096e-02	0	0	1.210485e+02	5.628908e+02	RDX
GO_Biological_Process_2023	Protein Localization To Mitochondrion (GO:0070585)	1/16	9.560390e-03	3.062096e-02	0	0	1.210485e+02	5.628908e+02	RALA
GO_Biological_Process_2023	Chondroitin Sulfate Metabolic Process (GO:0030204)	1/16	9.560390e-03	3.062096e-02	0	0	1.210485e+02	5.628908e+02	DSE
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881)	1/16	9.560390e-03	3.062096e-02	0	0	1.210485e+02	5.628908e+02	GSTO1
GO_Biological_Process_2023	Regulation Of Adaptive Immune Response (GO:0002819)	1/18	1.074953e-02	3.256986e-02	0	0	1.067968e+02	4.840984e+02	AHR
GO_Biological_Process_2023	Nucleosome Disassembly (GO:0006337)	1/18	1.074953e-02	3.256986e-02	0	0	1.067968e+02	4.840984e+02	HMGA1
GO_Biological_Process_2023	Positive Regulation Of Focal Adhesion Assembly (GO:0051894)	1/18	1.074953e-02	3.256986e-02	0	0	1.067968e+02	4.840984e+02	LIMS1
GO_Biological_Process_2023	Regulation Of Early Endosome To Late Endosome Transport (GO:2000641)	1/19	1.134362e-02	3.256986e-02	0	0	1.008586e+02	4.517557e+02	RDX
GO_Biological_Process_2023	Positive Regulation Of Mitochondrial Fission (GO:0090141)	1/19	1.134362e-02	3.256986e-02	0	0	1.008586e+02	4.517557e+02	RALA
GO_Biological_Process_2023	Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044)	1/19	1.134362e-02	3.256986e-02	0	0	1.008586e+02	4.517557e+02	LIMS1
GO_Biological_Process_2023	Xenobiotic Catabolic Process (GO:0042178)	1/19	1.134362e-02	3.256986e-02	0	0	1.008586e+02	4.517557e+02	GSTO1
GO_Biological_Process_2023	DNA Unwinding Involved In DNA Replication (GO:0006268)	1/20	1.193737e-02	3.256986e-02	0	0	9.554545e+01	4.230831e+02	HMGA1
GO_Biological_Process_2023	protein-DNA Complex Disassembly (GO:0032986)	1/20	1.193737e-02	3.256986e-02	0	0	9.554545e+01	4.230831e+02	HMGA1
GO_Biological_Process_2023	Regulation Of Necroptotic Process (GO:0060544)	1/20	1.193737e-02	3.256986e-02	0	0	9.554545e+01	4.230831e+02	PELI1
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882)	1/20	1.193737e-02	3.256986e-02	0	0	9.554545e+01	4.230831e+02	GSTO1
GO_Biological_Process_2023	Endothelial Cell Development (GO:0001885)	1/20	1.193737e-02	3.256986e-02	0	0	9.554545e+01	4.230831e+02	RDX
GO_Biological_Process_2023	Negative Regulation Of GTPase Activity (GO:0034260)	1/21	1.253080e-02	3.377203e-02	0	0	9.076364e+01	3.975053e+02	RDX
GO_Biological_Process_2023	Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880)	1/22	1.312390e-02	3.494436e-02	0	0	8.643723e+01	3.745602e+02	GSTO1
GO_Biological_Process_2023	Glial Cell Development (GO:0021782)	1/23	1.371667e-02	3.566335e-02	0	0	8.250413e+01	3.538720e+02	S100A9
GO_Biological_Process_2023	Positive Regulation Of Cell-Substrate Junction Organization (GO:0150117)	1/23	1.371667e-02	3.566335e-02	0	0	8.250413e+01	3.538720e+02	LIMS1
GO_Biological_Process_2023	Regulation Of Ruffle Assembly (GO:1900027)	1/24	1.430912e-02	3.593541e-02	0	0	7.891304e+01	3.351325e+02	RDX
GO_Biological_Process_2023	Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060314)	1/24	1.430912e-02	3.593541e-02	0	0	7.891304e+01	3.351325e+02	GSTO1
GO_Biological_Process_2023	Positive Regulation Of ERBB Signaling Pathway (GO:1901186)	1/24	1.430912e-02	3.593541e-02	0	0	7.891304e+01	3.351325e+02	RALA
GO_Biological_Process_2023	Regulation Of Cell Size (GO:0008361)	1/25	1.490124e-02	3.700197e-02	0	0	7.562121e+01	3.180863e+02	RDX
GO_Biological_Process_2023	Regulation Of Actin Filament Bundle Assembly (GO:0032231)	1/26	1.549304e-02	3.762596e-02	0	0	7.259273e+01	3.025203e+02	RDX
GO_Biological_Process_2023	cAMP-mediated Signaling (GO:0019933)	1/26	1.549304e-02	3.762596e-02	0	0	7.259273e+01	3.025203e+02	AHR
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021)	1/27	1.608451e-02	3.781571e-02	0	0	6.979720e+01	2.882554e+02	GSTO1
GO_Biological_Process_2023	Regulation Of Mitochondrial Fission (GO:0090140)	1/27	1.608451e-02	3.781571e-02	0	0	6.979720e+01	2.882554e+02	RALA
GO_Biological_Process_2023	Positive Regulation Of Filopodium Assembly (GO:0051491)	1/27	1.608451e-02	3.781571e-02	0	0	6.979720e+01	2.882554e+02	RALA
GO_Biological_Process_2023	Establishment Of Endothelial Barrier (GO:0061028)	1/28	1.667566e-02	3.838875e-02	0	0	6.720875e+01	2.751396e+02	RDX
GO_Biological_Process_2023	Negative Regulation Of Cation Channel Activity (GO:2001258)	1/28	1.667566e-02	3.838875e-02	0	0	6.720875e+01	2.751396e+02	GSTO1
GO_Biological_Process_2023	Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020)	1/30	1.785697e-02	4.068443e-02	0	0	6.256740e+01	2.518564e+02	GSTO1
GO_Biological_Process_2023	Cellular Response To cAMP (GO:0071320)	1/31	1.844714e-02	4.117997e-02	0	0	6.047879e+01	2.414825e+02	AHR
GO_Biological_Process_2023	Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)	1/31	1.844714e-02	4.117997e-02	0	0	6.047879e+01	2.414825e+02	RDX
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	2/364	1.932587e-02	4.211122e-02	0	0	1.084309e+01	4.279022e+01	RDX;LIMS1
GO_Biological_Process_2023	Carboxylic Acid Metabolic Process (GO:0019752)	1/33	1.962650e-02	4.211122e-02	0	0	5.669318e+01	2.228538e+02	GSTO1
GO_Biological_Process_2023	Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)	1/33	1.962650e-02	4.211122e-02	0	0	5.669318e+01	2.228538e+02	GSTO1
GO_Biological_Process_2023	Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742)	1/33	1.962650e-02	4.211122e-02	0	0	5.669318e+01	2.228538e+02	RALA
GO_Biological_Process_2023	Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)	1/35	2.080456e-02	4.389277e-02	0	0	5.335294e+01	2.066137e+02	LIMS1
GO_Biological_Process_2023	Negative Regulation Of DNA-templated Transcription (GO:0045892)	3/1025	2.085403e-02	4.389277e-02	0	0	6.185910e+00	2.394076e+01	HMGA1;AHR;LIMS1
GO_Biological_Process_2023	Regulation Of Cellular Component Biogenesis (GO:0044087)	1/37	2.198133e-02	4.493512e-02	0	0	5.038384e+01	1.923434e+02	RDX
GO_Biological_Process_2023	Establishment Of Protein Localization To Plasma Membrane (GO:0061951)	1/38	2.256922e-02	4.493512e-02	0	0	4.901966e+01	1.858418e+02	RDX
GO_Biological_Process_2023	Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209)	1/38	2.256922e-02	4.493512e-02	0	0	4.901966e+01	1.858418e+02	LIMS1
GO_Biological_Process_2023	Response To cAMP (GO:0051591)	1/38	2.256922e-02	4.493512e-02	0	0	4.901966e+01	1.858418e+02	AHR
GO_Biological_Process_2023	Positive Regulation Of Cation Channel Activity (GO:2001259)	1/38	2.256922e-02	4.493512e-02	0	0	4.901966e+01	1.858418e+02	GSTO1
GO_Biological_Process_2023	Response To Transforming Growth Factor Beta (GO:0071559)	1/38	2.256922e-02	4.493512e-02	0	0	4.901966e+01	1.858418e+02	LIMS1
GO_Biological_Process_2023	Water-Soluble Vitamin Metabolic Process (GO:0006767)	1/40	2.374404e-02	4.523650e-02	0	0	4.650117e+01	1.739341e+02	GSTO1
GO_Biological_Process_2023	Cyclic-Nucleotide-Mediated Signaling (GO:0019935)	1/40	2.374404e-02	4.523650e-02	0	0	4.650117e+01	1.739341e+02	AHR
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808)	1/40	2.374404e-02	4.523650e-02	0	0	4.650117e+01	1.739341e+02	RDX
GO_Biological_Process_2023	Negative Regulation Of Cell-Cell Adhesion (GO:0022408)	1/40	2.374404e-02	4.523650e-02	0	0	4.650117e+01	1.739341e+02	RDX
GO_Biological_Process_2023	Endothelial Cell Migration (GO:0043542)	1/40	2.374404e-02	4.523650e-02	0	0	4.650117e+01	1.739341e+02	S100A9
GO_Biological_Process_2023	DNA Duplex Unwinding (GO:0032508)	1/41	2.433097e-02	4.595850e-02	0	0	4.533636e+01	1.684702e+02	HMGA1
GO_Biological_Process_2023	Regulation Of Filopodium Assembly (GO:0051489)	1/43	2.550385e-02	4.687681e-02	0	0	4.317316e+01	1.583991e+02	RALA
GO_Biological_Process_2023	Positive Regulation Of Cell-Matrix Adhesion (GO:0001954)	1/43	2.550385e-02	4.687681e-02	0	0	4.317316e+01	1.583991e+02	LIMS1
GO_Biological_Process_2023	Regulation Of Cellular Component Size (GO:0032535)	1/43	2.550385e-02	4.687681e-02	0	0	4.317316e+01	1.583991e+02	RDX
GO_Biological_Process_2023	Establishment Of Protein Localization To Mitochondrion (GO:0072655)	1/44	2.608981e-02	4.687681e-02	0	0	4.216702e+01	1.537498e+02	RALA
GO_Biological_Process_2023	Cellular Response To Ketone (GO:1901655)	1/44	2.608981e-02	4.687681e-02	0	0	4.216702e+01	1.537498e+02	AHR
GO_Biological_Process_2023	Regulation Of Cell-Substrate Adhesion (GO:0010810)	1/44	2.608981e-02	4.687681e-02	0	0	4.216702e+01	1.537498e+02	LIMS1
GO_Biological_Process_2023	Epithelial Cell Migration (GO:0010631)	1/46	2.726075e-02	4.819700e-02	0	0	4.028889e+01	1.451330e+02	S100A9
GO_Biological_Process_2023	Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058)	1/46	2.726075e-02	4.819700e-02	0	0	4.028889e+01	1.451330e+02	RALA
GO_Biological_Process_2023	Epithelial To Mesenchymal Transition (GO:0001837)	1/47	2.784573e-02	4.845596e-02	0	0	3.941107e+01	1.411340e+02	LIMS1
GO_Biological_Process_2023	Negative Regulation Of Hydrolase Activity (GO:0051346)	1/47	2.784573e-02	4.845596e-02	0	0	3.941107e+01	1.411340e+02	RDX
