feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCB8,5.807989968175227,0.00744296348107828,0.1230187926254637,3.9234647815367936,8.728453002459737e-05,0.04119344903105304
AGAP2,11.295099261116714,0.013701395650109378,0.04126684331785238,4.16702061200914,3.086066031625665e-05,0.02904487184972343
ATL1,3.362643345822406,0.004668820971681412,0.03048032514768863,3.88126984054482,0.00010391246559342927,0.04413681976080908
CST7,1320.5053787136783,0.10280918860229274,0.027973501779958648,4.101609314891578,4.1028659469885954e-05,0.02904487184972343
FAM169A,9.580361532023119,0.008374217424208411,0.027253212150974062,3.9037700768383354,9.470575697186874e-05,0.042343442393475
FCHSD1,12.689505657612465,0.011338671098780947,0.029438677511263268,4.01923717331393,5.8386873488195965e-05,0.03542832073444462
HIRA,7.139703013686165,0.005620196104633619,0.029695358916915788,3.9592482374378064,7.518605653884488e-05,0.03991909689359295
KIR3DL1,36.65408340149443,-1.4065300875632811,0.2395953384176239,-5.198359328686531,2.0105519035105765e-07,0.0017079638420322348
KIR3DL2,28.59276338716773,-1.1759920346007513,0.27311044954614533,-4.081930231641216,4.466320581452486e-05,0.029185687184183746
MAP3K8,99.83162948180409,-0.3659537000957362,0.11154270304803089,-3.9331548752063417,8.383818096706666e-05,0.04119344903105304
OSBPL3,10.014833362894205,0.6338003573252425,0.23962459890372403,3.8305979006963984,0.0001278322587059655,0.04936068353214441
PALLD,14.48272023072815,0.8427818454561284,0.30731889750325075,4.244354006955654,2.1922403673521328e-05,0.026471275407759353
PLEKHO1,1.433668045341585,-0.0043313931420949576,0.036560628679257,-3.845707504875998,0.00012020508745166168,0.04862581990008886
PORCN,8.119226475577655,0.010364009223503574,0.03579416523647989,3.9913474945177043,6.569893117451535e-05,0.03720749468850053
PRSS23,170.28122801856782,0.18045512145796333,0.050156101588471516,4.111373524327085,3.933123063796311e-05,0.02904487184972343
PTGDS,490.46911509883205,0.6825148438867357,0.16593960117908582,5.003419468992953,5.632220068369558e-07,0.0023922854740399697
RNF169,13.835104731868354,0.7472838477846201,0.2715055371692906,4.141641289601556,3.448293486449744e-05,0.02904487184972343
S100A9,7.867761114150737,1.8753261753692987,0.44923232794658696,4.743701837790649,2.0984765307031404e-06,0.0044566395320807944
SERGEF,7.991805021560299,1.1940752820221483,0.4474904186084213,4.912556235356145,8.989658740867206e-07,0.00254557170012223
SP2,9.070931782926012,0.6797979301187206,0.21557259964094816,4.215443268412675,2.4928805563516754e-05,0.026471275407759353
XCL1,33.61662504778428,-0.7249543877584026,0.16424399453287877,-4.566748603497148,4.9534748605186255e-06,0.008415953788021145
XCL2,108.02711142775985,-0.34455533234220137,0.09962132528525422,-3.818183521392467,0.00013443790439224181,0.04965434773096061
ZNF672,3.966410039062425,0.007245884112504077,0.02838348774756369,4.370617822739772,1.2389547873031112e-05,0.01754153486356655
