Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Huntington disease,-1.5542681382709373,0.1845000231110887,0.001519756838905775,ATP5MC1;NDUFB7;DCTN4;ULK1;NDUFA1;CLTB;NDUFC2;CREBBP;ERN1;POLR2C;MAPK9;COX7B;UQCRFS1;BBC3;NDUFA13;UQCR11;TUBB4B;POLR2D;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;MAP2K7;PSMD6;NDUFA4;PSMB6;POLR2G;DCTN3;ATG2A;COX6A1;CASP3;NDUFB1;GNAQ;BECN1;UQCRQ;NDUFA10;MAP3K10;TAF4;WIPI1;NDUFS6;NDUFB11;NDUFA9;POLR2E;COX8A;SLC25A5;NDUFS3;SDHA;PSMA1;PLCB1;ATG14;PSMB3;COX7A2;TUBA4A;NDUFV1;POLR2J;NDUFB9;PLCB2;PSMD9;UQCRC1;TBPL1;NDUFA5;AP2A1;TUBB2A;NDUFS8;RB1CC1;COX5A;PSMC2;PSMD7;PSMC3;VDAC1;AP2M1;DNAL1;AP2A2;HTT;PPIF;PSMD3;RCOR1;STX1A,wald_stat,KEGG_2021_Human
Alzheimer disease,-1.5423638644751674,0.1888937562242364,0.001,ATF4;ATP5MC1;NRAS;AKT1;NDUFB7;CALM3;IRS2;CSNK2B;ULK1;NDUFA1;MAP2K2;NDUFC2;ERN1;MAPK9;COX7B;UQCRFS1;NDUFA13;UQCR11;TUBB4B;BAD;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;HSD17B10;MAP2K7;PSMD6;NDUFA4;PSMB6;ATG2A;COX6A1;CASP3;NDUFB1;AXIN1;GNAQ;APH1A;BECN1;PIK3R1;GAPDH;UQCRQ;NFKB1;NDUFA10;CALM1;FRAT2;CSNK2A2;IKBKB;WIPI1;NDUFS6;NDUFB11;NDUFA9;FZD3;COX8A;SLC25A5;NDUFS3;SDHA;PSMA1;PLCB1;ATG14;PSMB3;BRAF;COX7A2;CAPN2;TUBA4A;NDUFV1;CSNK1E;NDUFB9;PLCB2;PSMD9;UQCRC1;NDUFA5;TUBB2A;NDUFS8,wald_stat,KEGG_2021_Human
Adherens junction,-1.5414502422266496,0.17946934468569783,0.0165016501650165,CDC42;FARP2;TCF7;CSNK2B;CREBBP;RAC1;ACP1;YES1;AFDN;PTPRJ;ACTN4,wald_stat,KEGG_2021_Human
Chemokine signaling pathway,-1.535456635532971,0.17715875076861878,0.008116883116883116,CDC42;XCL1;NRAS;GRK2;AKT1;GNB1;PREX1;GRK6;SOS2;RAC1;ADCY7;BAD;GNGT2;PRKACA;NFKBIB;GSK3A;XCL2;GNAQ;PIK3R1;CCL4;NFKB1;PRKCB;IKBKB;CCL5;CCL4L2;LYN;VAV3;PLCB1;BRAF;DOCK2;ADCY9;GNAI2;ARRB1;PLCB2,wald_stat,KEGG_2021_Human
Gastric acid secretion,-1.5311386484783627,0.17456888973224088,0.037243947858473,GNAS;CALM3;ADCY7;PRKACA;PRKCA;GNAQ;CALM1;SLC9A1;PRKCB;PLCB1;ADCY9;GNAI2;PLCB2,wald_stat,KEGG_2021_Human
Thermogenesis,-1.503009557158069,0.2085276765792227,0.0015600624024961,ARID1B;ATP5MC1;NRAS;NDUFB7;GNAS;NDUFA1;MAP2K3;NDUFC2;SOS2;COX7B;UQCRFS1;PRKAG1;ADCY7;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;PRKACA;NDUFA4;COX6A1;COX19;NDUFB1;ATP5ME;UQCRQ;NDUFA10;NDUFS6;NDUFB11;NDUFA9;PRKAG2;COX8A;NDUFS3;SDHA;MLST8;COA1;COX7A2;ADCY9;NDUFV1;COX16;NDUFB9;UQCRC1;NDUFA5;NDUFS8;ARID1A;ACSL3;COX5A,wald_stat,KEGG_2021_Human
Parkinson disease,-1.5003975854207596,0.2025371773376866,0.004739336492890996,ATF4;ATP5MC1;NDUFB7;GNAS;CALM3;NDUFA1;NDUFC2;ERN1;MAPK9;COX7B;UQCRFS1;NDUFA13;UQCR11;TUBB4B;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;PSMD6;PRKACA;NDUFA4;PSMB6;COX6A1;CASP3;NDUFB1;UBE2G2;UBB;UQCRQ;NDUFA10;CALM1;NDUFS6;NDUFB11;UBA1;NDUFA9;COX8A;SLC25A5;NDUFS3;PINK1;SDHA;PSMA1;PSMB3;COX7A2;NFE2L2;GNAI2;TUBA4A;NDUFV1;NDUFB9;PSMD9;UQCRC1;NDUFA5;HTRA2;TUBB2A;NDUFS8;TXN;UBE2J1;HSPA5;COX5A;PSMC2;PSMD7;PSMC3,wald_stat,KEGG_2021_Human
Apelin signaling pathway,-1.4949495391107739,0.20210503817913653,0.022913256955810146,NRAS;AKT1;CALM3;MAP2K2;GNB1;EGR1;MEF2D;GNA13;PRKAG1;ADCY7;GNGT2;PRKACA;GABARAPL1;GNAQ;BECN1;CALM1;SLC9A1;PRKAG2;PLCB1;ADCY9;GNAI2;PLCB2,wald_stat,KEGG_2021_Human
Pathways of neurodegeneration,-1.4919069842497192,0.1974901905760471,0.0014104372355430183,RAB1A;ATF4;ATP5MC1;NRAS;NDUFB7;CALM3;DCTN4;CSNK2B;ULK1;NDUFA1;MAP2K2;MAP2K3;NDUFC2;RAC1;ERN1;MAPK9;COX7B;UQCRFS1;NDUFA13;UQCR11;TUBB4B;BAD;CHMP2B;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;HSD17B10;MAP2K7;PSMD6;NDUFA4;PSMB6;GABARAPL1;DCTN3;ATG2A;COX6A1;CASP3;PRKCA;DERL1;NDUFB1;AXIN1;GNAQ;UBE2G2;BECN1;UBB;UQCRQ;NFKB1;NDUFA10;MAP3K10;CALM1;FRAT2;PRKCB;CSNK2A2;OPTN;WIPI1;NDUFS6;NDUFB11;UBA1;NDUFA9;FZD3;ATXN2L;COX8A;SLC25A5;NDUFS3;PINK1;SDHA;PSMA1;PLCB1;ATG14;PSMB3;BRAF;COX7A2;CAPN2;TUBA4A;NDUFV1;CSNK1E;NDUFB9;PLCB2;TOMM40;PSMD9;UQCRC1;NDUFA5;HTRA2;TUBB2A;NDUFS8;UBE2J1;HSPA5;BAK1;RB1CC1;COX5A,wald_stat,KEGG_2021_Human
Vibrio cholerae infection,-1.47731158268757,0.2121952487803648,0.04929577464788732,ARF1;TCIRG1;GNAS;ATP6V1H;SEC61G;PRKACA;ATP6V0C;PRKCA;SEC61B,wald_stat,KEGG_2021_Human
Vasopressin-regulated water reabsorption,-1.4551870407692706,0.23948970716149612,0.04020979020979021,RAB5C;ARHGDIA;GNAS;DCTN4;DYNLL2;PRKACA;DYNC1LI1;DYNC1LI2,wald_stat,KEGG_2021_Human
Olfactory transduction,-1.4474289335962542,0.24457552041161656,0.06049149338374291,RGS2;GRK2;CALM3;GNB1;PRKACA;CALM1,wald_stat,KEGG_2021_Human
Vascular smooth muscle contraction,-1.4457829927022212,0.23874454963491484,0.02872531418312388,GNAS;CALM3;MAP2K2;GNA13;ADCY7;PRKACA;PRKCA;GNAQ;MYL6;CALM1;PRKCB;PPP1R12C;PLCB1;ARHGEF1;BRAF;GNA12;ADCY9;PLCB2,wald_stat,KEGG_2021_Human
Cytosolic DNA-sensing pathway,-1.4446889545200012,0.2319906841302457,0.04145077720207254,ZBP1;POLR1C;NFKBIB;POLR3F;CCL4;NFKB1;IKBKB;CCL5;POLR2E;CCL4L2;POLR3C;RIPK3;IL18,wald_stat,KEGG_2021_Human
Neurotrophin signaling pathway,-1.4425707017555882,0.2275283060122592,0.024,ARHGDIA;ATF4;MAPKAPK2;CDC42;NRAS;AKT1;CALM3;MAP2K2;RAPGEF1;SOS2;RAC1;MAPK9;BAD;MATK;MAP2K7;NFKBIB;PIK3R1;NFKB1;CALM1;YWHAE;IKBKB,wald_stat,KEGG_2021_Human
mRNA surveillance pathway,-1.440915870185541,0.22270160222874935,0.024916943521594685,RBM8A;ALYREF;DDX19B;MAGOH;WDR33;RNPS1;CPSF7;PPP2CA;SAP18;PABPC1L;PPP2R3C;DAZAP1;RNMT;PPP2CB;PABPN1;NCBP1;NUDT21;CPSF6;PPP2R2D;NXT1;CPSF1;PELO;SRRM1;ETF1;PAPOLA,wald_stat,KEGG_2021_Human
Glycosaminoglycan biosynthesis,-1.4301931137660975,0.23337963684007848,0.060550458715596334,CHST7;CHSY1;B3GNT7;B3GNT2;B4GALT4;UST;B3GALT6;EXT1;XYLT1;HS6ST1;B3GAT3,wald_stat,KEGG_2021_Human
