Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Regulation Of Autophagy Of Mitochondrion (GO:1903146),-1.7606237752727774,0.4394500039758486,0.005703422053231939,FBXW7;GSK3A;CSNK2A2;SREBF1;PINK1;USP36;HTRA2;VDAC1;PARK7;HTT,wald_stat,GO_Biological_Process_2023
Establishment Of Protein Localization To Extracellular Region (GO:0035592),1.7605701713167325,0.21727509960247124,0.013574660633484163,GOLPH3;MIA3;PREB;PRF1;GSDMD;TVP23B;TMEM167A,wald_stat,GO_Biological_Process_2023
Receptor Signaling Pathway Via JAK-STAT (GO:0007259),1.7490994704778298,0.22393589358170085,0.00211864406779661,STAT3;STAT4;IFNG;STAMBP;CTR9;STAT5A;IFNAR1;IFNAR2;STAT6,wald_stat,GO_Biological_Process_2023
TOR Signaling (GO:0031929),-1.748000381990967,0.4475587986861424,0.0071301247771836,CARD11;LAMTOR1;LAMTOR4;GATA3;FNIP1;LAMTOR5;TIPRL;MAPKAP1;PINK1;MLST8;FLCN;LAMTOR3;PRR5,wald_stat,GO_Biological_Process_2023
Regulation Of Lipid Metabolic Process (GO:0019216),-1.7431980774008453,0.42212401815601236,0.0068846815834767644,IRS2;ID2;NPC2;LACTB;EDF1;PANK2;NR1D2;PRKAG2;OPA3;CERS2;ABCA7,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),1.7358081110615102,0.2349306441767493,0.0022371364653243847,MAPK14;ETS1;NCKAP1L;STAT3;PRKDC;FAM210B;HIF1A;ARNT,wald_stat,GO_Biological_Process_2023
Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872),1.7273943027608665,0.2371492436379977,0.006369426751592357,TNIP1;TCP1;CCT3;CCT6A;PARN;RUVBL1;CCT8;CCT7;CCT4;SHQ1;DKC1;NOP10,wald_stat,GO_Biological_Process_2023
"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",-1.7218116277570137,0.4663219874925645,0.0036363636363636364,NDUFB7;NDUFC2;NDUFB6;NDUFB8;NDUFA4;NDUFB1;NDUFA10;NDUFS6;NDUFA9;NDUFS3;NDUFV1;NDUFB9;NDUFA5;NDUFS8,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Stress Fiber Assembly (GO:0051496),-1.7199838985409324,0.4361248147781023,0.01073345259391771,LIMK1;CDC42;RHOC;RAC1;SORBS3;S100A10;TESK1;EVL;ARHGEF10,wald_stat,GO_Biological_Process_2023
Regulation Of Telomerase Activity (GO:0051972),1.7162185820698657,0.246731481447088,0.016317016317016316,XRCC5;TNIP1;PRKCQ;PTGES3;TCP1;PARP4;NEK7;PARN;MAP3K4;WRAP53;CCT4;CCT2;TP53;ATM;CTNNB1;DKC1;HMBOX1;MEN1;MYC;PIF1;NVL;ERCC4,wald_stat,GO_Biological_Process_2023
Autophagosome Assembly (GO:0000045),-1.7145719271912823,0.42341639938266673,0.0032948929159802307,RAB1A;MAP1LC3B;WDR45B;ULK1;EMC6;ATG7;GABARAPL1;ATG2A;ATG4D;NSFL1C;BECN1;PACS2;WIPI1;ATG4B,wald_stat,GO_Biological_Process_2023
Regulation Of Lamellipodium Assembly (GO:0010591),-1.7100574899740923,0.4099733268018414,0.003663003663003663,CDC42;TWF1;CARMIL2;RAC1;AUTS2;ARPC2;PIK3R1;DMTN;TWF2,wald_stat,GO_Biological_Process_2023
Positive Regulation Of RNA Splicing (GO:0033120),-1.7050940782475927,0.40140283915531916,0.013084112149532711,U2AF2;RBM3;ZPR1;SNW1;ERN1;TRA2B;CIRBP;DAZAP1;NCBP1;PIK3R1,wald_stat,GO_Biological_Process_2023
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),-1.698591649909988,0.39967899107122434,0.008726003490401396,MAD2L2;TGFB1;SPRY2;PPP2CA;GATA3;GLIPR2;LDLRAD4;EPHA4;MCRIP1;SDHAF2,wald_stat,GO_Biological_Process_2023
Proton Motive Force-Driven ATP Synthesis (GO:0015986),-1.6965938790731352,0.38463070837832725,0.00865051903114187,ATP5MC1;NDUFB7;NDUFA1;NDUFC2;NDUFA13;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFB1;ATP5ME;NDUFA10;NDUFS6;NDUFB11;NDUFA9;NDUFS3;SDHA;VPS9D1;NDUFV1;NDUFB9;NDUFA5;NDUFS8,wald_stat,GO_Biological_Process_2023
Regulation Of mRNA Catabolic Process (GO:0061013),-1.692963894620289,0.3772047956601403,0.005244755244755245,RBM8A;MAPKAPK2;MAGOH;YTHDF2;VIM;YTHDF3;ZC3H12A;YTHDF1;CNOT1;PRKCA;PCBP4,wald_stat,GO_Biological_Process_2023
Rho Protein Signal Transduction (GO:0007266),-1.6829956774154513,0.3902906279415762,0.007220216606498195,ARHGAP4;LIMK1;ARHGDIA;CDC42;GNA13;MYO9B;ARHGAP5;CFL1;ARHGEF1;GNA12,wald_stat,GO_Biological_Process_2023
Protein Export From Nucleus (GO:0006611),1.6792912847062547,0.3202657762857599,0.020642201834862386,STRADA;XPO1;STYX;DUSP16;DESI1;RAN;RANBP3;CSE1L,wald_stat,GO_Biological_Process_2023
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-1.6783596121058164,0.38689451365567845,0.015625,NDUFB7;NDUFA1;NDUFC2;NDUFA13;NDUFB6;NDUFB8;NDUFA12;SDHB;NDUFB1;ATP5ME;NDUFA10;NDUFS6;NDUFB11;NDUFA9;NDUFS3;SDHA;NDUFV1;NDUFB9;NDUFA5;NDUFS8,wald_stat,GO_Biological_Process_2023
mRNA Processing (GO:0006397),-1.6755707522745475,0.37752148034564004,0.001,SF3B6;U2AF2;RBM8A;FRG1;ALYREF;MAGOH;SRSF10;CRNKL1;RBM5;PRPF18;SNRNP27;CWC25;PHF5A;EFTUD2;RNPS1;SNW1;SYF2;CPSF7;BUD31;CWC15;SLU7;SNRPB2;ERN1;TRA2B;PIN1;RAMAC;HEXIM1;HNRNPH1;SRSF9;PRKACA;DDX39A;CTNNBL1;RNMT;NCBP1;TFIP11;SNRPD1;DHX8;NUDT21;SRSF5;ALKBH5;CPSF6;SRSF2;FBXO11;CDC5L;SF3A2;HNRNPM;KIN;PRPF4B;PPIH;SNIP1;SRRM2,wald_stat,GO_Biological_Process_2023
Regulation Of Cytoplasmic Translation (GO:2000765),1.6747813208606344,0.3153360097008985,0.016203703703703703,HNRNPD;CSDE1;DHX36;PABPC1;PKM;SYNCRIP;YBX1,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Viral Life Cycle (GO:1903902),-1.657148373078261,0.4261810671771861,0.02010968921389397,VPS37B;FURIN;LGALS1;LGALS9;KPNA2;P4HB;VPS4A;HLA-DRB1,wald_stat,GO_Biological_Process_2023
Regulation Of RNA Splicing (GO:0043484),-1.6504396595143036,0.4319397940486732,0.001,U2AF2;JMJD6;SRSF10;ZPR1;CLK3;QKI;TAF10;CCNL2;RBM38;RBM39;PTBP1;ERN1;TRA2B;CLK1;ZNF326;HNRNPH1;PQBP1;TADA2B;FAM50A;MCM2;HNRNPL;PIK3R1;LARP7;CLK4;GRSF1;ZC3H10;TAF6L;RBM12,wald_stat,GO_Biological_Process_2023
Protein Heterooligomerization (GO:0051291),-1.6477868071091186,0.4227803054976728,0.00929368029739777,TMEM120A;CPSF7;NUDT21;CPSF6;PKD2;HSD17B8;CBR4;ZNF777,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),-1.6474472696376197,0.40670914107509126,0.009259259259259259,CDC42;ARHGEF7;CALR;RAC1;P4HB;DMTN;S100A10;TESK1;TRIOBP,wald_stat,GO_Biological_Process_2023
Autophagosome Organization (GO:1905037),-1.6443926110745646,0.4009208886562126,0.009708737864077669,RAB1A;MAP1LC3B;WDR45B;ULK1;EMC6;ATG7;GABARAPL1;ATG2A;NSFL1C;BECN1;PACS2;WIPI1,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Protein Ubiquitination (GO:0031397),-1.6433082768551401,0.3899999681286614,0.0070052539404553416,LIMK1;U2AF2;AKT1;SPRY2;FBXO5;USP4;N4BP1;SUMO1;ISG15;SPOPL;DTX3L;GTPBP4;ARRB1;BAG5;OGT;SOX4;CAMLG;PER2;GNL3L;PARK7;ARRB2,wald_stat,GO_Biological_Process_2023
fatty-acyl-CoA Biosynthetic Process (GO:0046949),1.62426883805907,0.4500765099705268,0.023094688221709007,ELOVL6;HACD2;ACSL4;ACAT1;HSD17B12,wald_stat,GO_Biological_Process_2023
Negative Regulation Of T Cell Activation (GO:0050868),1.6176570356269326,0.45191266884413445,0.02050113895216401,LAX1;RIPOR2;NCKAP1L;PAG1;FCGR2B;HAVCR2;GLMN;LAPTM5,wald_stat,GO_Biological_Process_2023
