Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Spermatogenesis,1.0857401116781098,1.0,0.35864485981308414,PIAS2;PSMG1;RFC4;RAD17;MLF1;TOPBP1;IFT88;NF2;SIRT1;CHFR;CSNK2A2;IP6K1;MLLT10;ZC3H14;BRAF;MTOR;SLC12A2,wald_stat,MSigDB_Hallmark_2020
Unfolded Protein Response,-1.082145943939494,0.3900293870696893,0.29411764705882354,SLC7A5;H2AX;DDIT4;CKS1B;DNAJB9;NPM1;DNAJC3;EXOSC4;LSM4;ATF4;SRPRB;PDIA6;EDEM1;EXOSC10;EIF4G1;HYOU1;CALR;HSPA5;POP4;MTREX;EIF4A1;BAG3;HSP90B1;KIF5B;EIF4E;LSM1;HERPUD1;SLC1A4;TSPYL2;NABP1;EXOSC5;NFYB;WIPI1;YWHAZ,wald_stat,MSigDB_Hallmark_2020
Adipogenesis,1.051447913852471,1.0,0.37122002085505734,ABCB8;QDPR;SLC25A1;MRPL15;PHYH;JAGN1;ATP5PO;DHRS7B;AK2;ELMOD3;COQ9;CHCHD10;SLC66A3;STAT5A;SOD1;PEX14;SCP2;PREB;TOB1;IDH3A;BAZ2A;STOM;MIGA2;DHRS7;HADH;ARAF;RTN3;MTCH2;SAMM50;DRAM2;COQ5;RREB1;MGST3;CMPK1;UBC;UQCRC1;SDHC;GPHN;AIFM1;CRAT;UCK1;FAH;REEP5;DHCR7;PEMT;GHITM;GPD2;DDT;TANK;ATP1B3;UBQLN1;DLAT;DECR1;GPAT4;ESYT1,wald_stat,MSigDB_Hallmark_2020
Hypoxia,-1.0469603258822506,0.4552218562294129,0.3090909090909091,ALDOA;MAFF;IER3;DDIT4;IRS2;RBPJ;JMJD6;TIPARP;WSB1;FOSL2;P4HA1;PFKFB3;ZFP36;XPNPEP1;GBE1;PGM2;PRKCA;PRDX5;HSPA5;TES;LDHA;BHLHE40;NOCT,wald_stat,MSigDB_Hallmark_2020
Protein Secretion,1.038410981360608,1.0,0.41935483870967744,CTSC;SCAMP3;BNIP3;STX7;SEC31A;SOD1;SCAMP1;ARFGEF1;CLTC;IGF2R;GBF1;COG2;ARFIP1;YIPF6;COPB2;RAB22A;VPS45;GOLGA4;ATP7A;TPD52;ARFGEF2;LAMP2;RER1;STX12;RAB9A;STX16;GOSR2;ERGIC3;ADAM10;M6PR;SGMS1;AP2S1;VAMP4;YKT6;COPB1,wald_stat,MSigDB_Hallmark_2020
Mitotic Spindle,1.0366420307562962,1.0,0.3890608875128999,PALLD;KATNA1;ARHGEF7;SPTAN1;RABGAP1;RALBP1;MAP1S;PIF1;ARHGEF3;ARHGAP10;NF1;TUBGCP6;HDAC6;ARFGEF1;FLNA;KIF3B;CAPZB;PPP4R2;MYH9;PCNT;EPB41;KATNB1;WASF2;BCL2L11;CNTROB;LRPPRC;RHOT2;PDLIM5;ROCK1;UXT;CLIP1;EZR;TUBGCP2;ARHGEF2;ABR;ALS2;BIN1;MARK4;SEPTIN9,wald_stat,MSigDB_Hallmark_2020
Glycolysis,1.022740691403158,1.0,0.448744769874477,CHST12;PGAM1;B3GAT1;MED24;ALDH9A1;FAM162A;PYGB;ANKZF1;CHPF2;PLOD1;SOD1;PFKP;TPI1;ME2;PKM;RARS1;GCLC;AKR1A1;CYB5A;GMPPA;NASP;GNPDA1;CITED2;MDH1;COG2;SRD5A3;HS2ST1;COPB2;FKBP4;PPIA;GMPPB;KIF2A;SDHC;SLC25A13,wald_stat,MSigDB_Hallmark_2020
Fatty Acid Metabolism,1.0082214658383504,1.0,0.47789473684210526,ACOT8;RDH11;ODC1;ALDH9A1;HMGCL;PDHB;ACAA1;ADSL;BCKDHB;D2HGDH;HADH;MLYCD;AUH;MDH1;CRYZ;METAP1;PCBD1;HCCS;NCAPH2;CBR1;ACSL5;MCEE;HSD17B11;SDHC;ACSL4;HPGD;UROD;ETFDH;GRHPR;CRAT;HSDL2;GPD2;ENO2;SUCLG2;FH;DECR1;ALAD;PPARA,wald_stat,MSigDB_Hallmark_2020
Bile Acid Metabolism,1.0068896737310185,1.0,0.4673311184939092,PHYH;ALDH9A1;ABCD3;SLC35B2;SOD1;FDXR;SCP2;PECR;MLYCD;ABCA2;GNPAT;ACSL5;HSD17B11;SLC22A18,wald_stat,MSigDB_Hallmark_2020
mTORC1 Signaling,-1.0008029720490783,0.5520870816840591,0.4444444444444444,ALDOA;RIT1;SLC7A5;HSPD1;HSPE1;DDIT4;ATP5MC1;SLC1A5;RAB1A;FKBP2;IDI1;TUBA4A;SC5D;TMEM97;NFKBIB;NIBAN1;PPA1;P4HA1;MCM4;MCM2;EDEM1;EPRS1;ETF1;IFRD1;GBE1;PSMA4;RRM2;CALR;FADS1;HSPA5;TES,wald_stat,MSigDB_Hallmark_2020
