Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of CD8-positive, Alpha-Beta T Cell Proliferation (GO:2000564)	1/8	2.397859e-03	6.594112e-03	0	0	5.710571e+02	3.445290e+03	XCL1
GO_Biological_Process_2023	Regulation Of T-helper 1 Type Immune Response (GO:0002825)	1/8	2.397859e-03	6.594112e-03	0	0	5.710571e+02	3.445290e+03	XCL1
GO_Biological_Process_2023	Negative Regulation Of T Cell Cytokine Production (GO:0002725)	1/8	2.397859e-03	6.594112e-03	0	0	5.710571e+02	3.445290e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001187)	1/8	2.397859e-03	6.594112e-03	0	0	5.710571e+02	3.445290e+03	XCL1
GO_Biological_Process_2023	Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000561)	1/9	2.697256e-03	6.846880e-03	0	0	4.996500e+02	2.955690e+03	XCL1
GO_Biological_Process_2023	Response To Interleukin-4 (GO:0070670)	1/9	2.697256e-03	6.846880e-03	0	0	4.996500e+02	2.955690e+03	XCL1
GO_Biological_Process_2023	Negative Regulation Of Alpha-Beta T Cell Proliferation (GO:0046642)	1/9	2.697256e-03	6.846880e-03	0	0	4.996500e+02	2.955690e+03	XCL1
GO_Biological_Process_2023	Regulation Of T-helper 2 Cell Cytokine Production (GO:2000551)	1/10	2.996578e-03	7.235640e-03	0	0	4.441111e+02	2.580412e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of Transforming Growth Factor Beta Production (GO:0071636)	1/10	2.996578e-03	7.235640e-03	0	0	4.441111e+02	2.580412e+03	XCL1
GO_Biological_Process_2023	Negative Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000515)	1/11	3.295826e-03	7.737062e-03	0	0	3.996800e+02	2.284211e+03	XCL1
GO_Biological_Process_2023	Cellular Response To Cytokine Stimulus (GO:0071345)	2/308	3.403743e-03	7.737062e-03	0	0	3.216993e+01	1.828179e+02	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	2/310	3.447238e-03	7.737062e-03	0	0	3.195779e+01	1.812065e+02	XCL2;XCL1
GO_Biological_Process_2023	Positive Regulation Of T-helper 1 Type Immune Response (GO:0002827)	1/12	3.594998e-03	7.737062e-03	0	0	3.633273e+02	2.044883e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000516)	1/12	3.594998e-03	7.737062e-03	0	0	3.633273e+02	2.044883e+03	XCL1
GO_Biological_Process_2023	Regulation Of Myoblast Fusion (GO:1901739)	1/13	3.894096e-03	7.867664e-03	0	0	3.330333e+02	1.847767e+03	PLEKHO1
GO_Biological_Process_2023	Cellular Response To Interleukin-4 (GO:0071353)	1/13	3.894096e-03	7.867664e-03	0	0	3.330333e+02	1.847767e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of Type 2 Immune Response (GO:0002830)	1/13	3.894096e-03	7.867664e-03	0	0	3.330333e+02	1.847767e+03	XCL1
GO_Biological_Process_2023	Negative Regulation Of T Cell Mediated Immunity (GO:0002710)	1/14	4.193120e-03	8.302377e-03	0	0	3.074000e+02	1.682803e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of Immunoglobulin Mediated Immune Response (GO:0002891)	1/15	4.492068e-03	8.719897e-03	0	0	2.854286e+02	1.542868e+03	XCL1
GO_Biological_Process_2023	Regulation Of Transforming Growth Factor Beta Production (GO:0071634)	1/16	4.790942e-03	8.949119e-03	0	0	2.663867e+02	1.422779e+03	XCL1
GO_Biological_Process_2023	Negative Regulation Of Cytokine Production Involved In Immune Response (GO:0002719)	1/16	4.790942e-03	8.949119e-03	0	0	2.663867e+02	1.422779e+03	XCL1
GO_Biological_Process_2023	Regulation Of Leukocyte Chemotaxis (GO:0002688)	1/17	5.089741e-03	9.161535e-03	0	0	2.497250e+02	1.318680e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of Alpha-Beta T Cell Proliferation (GO:0046641)	1/17	5.089741e-03	9.161535e-03	0	0	2.497250e+02	1.318680e+03	XCL1
GO_Biological_Process_2023	Regulation Of T Cell Cytokine Production (GO:0002724)	1/18	5.388466e-03	9.358915e-03	0	0	2.350235e+02	1.227644e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of Neutrophil Chemotaxis (GO:0090023)	1/18	5.388466e-03	9.358915e-03	0	0	2.350235e+02	1.227644e+03	XCL1
