Grupo de Edad,Donantes Totales,Células Totales,Edad Promedio ± DE,Sexo (Femenino / Masculino),Mediana UMIs / Célula,Mediana Genes / Célula,Mediana % MT,Células CD56dim,Células CD56bright
Adultos (Jóvenes),197,73434,46.4 ± 7.3,102 / 95,"1,961","1,268",3.83%,"71,683 (97.6%)","1,751 (2.4%)"
Adultos Mayores,226,70557,73.5 ± 8.8,111 / 115,759,500,3.77%,"69,489 (98.5%)","1,068 (1.5%)"
