feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,0.8566828625384001,-0.0016774223182911172,0.022125033156399826,-0.8503538815731786,0.39512836837962817,
A2M,1.6213522518774388,0.0022051602905458576,0.04751112899518705,0.632689116589443,0.5269366784127915,0.9019587982736256
A2M-AS1,10.33846535669691,0.0021793180767411165,0.0323661351512279,0.6144738952576143,0.5389022181811122,0.9076303206541649
AAAS,7.180861003160598,-0.00011555002081791395,0.05557083925504649,-0.019041091358605714,0.98480832517995,0.9969129498184369
AACS,0.652793985664716,0.0016038287549008496,0.06568265030639683,1.0046170422165737,0.31508128785305445,
AAGAB,10.730725643243847,0.009079460308338802,0.05344603869490447,2.535606584151557,0.01122527630699517,0.3251227674030612
AAK1,90.45774291665128,0.026928172123140234,0.061185331572158504,1.7209305016281449,0.0852634359228636,0.6142731526158624
AAMDC,1.3427580689205272,0.0014261026731876947,0.07781961440855581,1.2974653484452645,0.1944711203841012,0.7420205455168625
AAMP,25.214389606574276,0.007225729964863918,0.06691342392585434,0.7923173035245281,0.42817568474984713,0.8700787505620146
AAR2,8.553595732646498,0.0012023465280837468,0.1526944531141653,0.4217343148069804,0.6732189547310485,0.9463970337980213
AARS1,3.8536684048672,0.0034332037939544505,0.04096966800990333,1.2940097722270922,0.19566204535764997,0.7441913512354142
AARS2,1.139739041837041,0.0003428681695298384,0.03540097783226644,-0.0872021999043122,0.9305107907492429,0.993663879254356
AARSD1,9.727519690432068,0.0023245696186291074,0.06826472247002363,0.9176035076151917,0.35882648086969005,0.8428443261674847
AASDH,2.93273119682889,0.0005802349159853171,0.01901250055747586,0.3967009137424523,0.6915880262870004,0.9513880208679701
AASDHPPT,15.060844793220499,0.0014850000990336849,0.058271456588265304,0.3644905451298383,0.715491732844462,0.9572548705099333
AASS,0.3666101920954552,-0.0003912235203508461,0.09413889983707452,-0.5059667433270418,0.6128799963390581,
AATF,33.043342972229645,0.008198131434207027,0.5712087302583977,1.1325378044470154,0.25740840000890874,0.7886093281613566
ABALON,0.090311438081114,5.396347925864366e-05,0.22907777857949127,0.1662146331441898,0.8679880440467906,
ABAT,0.5793595937221868,0.00040546862530642874,0.10714262892898074,0.5162969164304951,0.6056470495639054,
ABCA2,21.951928910021785,0.007515419675707746,0.04829937437450344,1.4121510332921057,0.1579054949398916,0.7066511582347367
ABCA3,1.1766164418106408,0.00041493446283028413,0.03325275670594682,-0.37349656308945123,0.7087789028315659,0.9565507544052151
ABCA5,4.796143440502619,5.2928016944426906e-05,0.0299527167602183,0.036390527884592225,0.9709709668315866,0.9965565404777202
ABCA7,3.630693555717119,0.0020425929878371578,0.03205750847791965,1.2442841873296366,0.2133949886621055,0.7589507350063979
ABCB1,24.14558007710567,-0.014986262452362726,0.06325163372794612,-1.857616233585155,0.06322353156176418,0.5587873030049474
ABCB10,1.6722280092720296,0.0015116955642800799,0.04772540237750169,0.5948909904185123,0.5519163400611067,0.9105437333767639
ABCB7,5.468310379169734,0.0026692630622045326,0.03879164131877736,0.5839520596125196,0.5592525663899666,0.9127405754575907
ABCB8,5.777816081771086,0.007231300758663784,0.04784028230342128,3.9201522340620545,8.849305071109238e-05,0.04230838450398079
ABCC1,3.0063585930061185,0.002417840740376522,0.04482538740950677,0.6987741657276233,0.4846931759448322,0.8937274341839901
ABCC10,5.320245671711619,0.005684890872130242,0.03453813053850381,1.5591800164590655,0.11895377923050306,0.6683975178860592
ABCC4,0.5471269478551275,0.0007606097245375117,0.0528355102359708,0.2566545190013081,0.7974454842034708,
ABCC5,3.794732638702148,0.0027790653233600933,0.018858162273988368,1.0844447816661602,0.2781676373625759,0.8001257656981487
ABCD1,0.6549397731653314,-0.00011860975784162702,0.03469861361420018,0.06713452445773156,0.9464746093401472,
ABCD2,0.7775800321489693,0.001589544545794576,0.04395202160951523,0.4945162572394006,0.6209416278298326,
ABCD3,6.139143445520153,0.005252530991469701,0.0462215054182218,2.1461789005118908,0.03185870828031394,0.46706272665621534
ABCD4,12.109630323575045,0.003243585134886125,0.031264443538092754,0.7734228559157142,0.4392721677327224,0.8774742308094117
ABCE1,6.877580515175442,0.002314572368121159,0.04767125055746502,0.6979839793761323,0.4851872131236624,0.8940656392067489
