feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCB8,5.777816081771086,0.007231300758663784,0.04784028230342128,3.9201522340620545,8.849305071109238e-05,0.04230838450398079
AGAP2,11.551965945493395,0.01388229758555181,0.05081985157973055,4.169294415603403,3.055440833719968e-05,0.029295982051090613
ATL1,3.35421573453454,0.004697233773762488,0.035904833899925215,3.885944832113917,0.00010193265508296102,0.04400942383206842
CST7,1314.6665608678982,0.10380518523377853,0.028178467002115296,4.074707533608253,4.607221115552147e-05,0.033115368649244525
FAM169A,9.718520599574,0.00849601201139504,0.027742099117932635,3.9079225280602206,9.30931448263619e-05,0.04230838450398079
FCHSD1,12.658704738081319,0.011421299295896104,0.02992404647553245,4.021418015663186,5.784884235462521e-05,0.0356803395522992
HIRA,7.177235726000234,0.005599336968976374,0.02367389204800558,3.9537429014701178,7.69380804395432e-05,0.03991069853056121
KIR3DL1,36.63848264936207,-1.405199687063055,0.24239341876262585,-5.179152968121614,2.2289564417061358e-07,0.0019247038874132482
KIR3DL2,28.436391907756366,-1.1708508437437581,0.2787981157953871,-4.056304682228729,4.985521626406239e-05,0.033115368649244525
MAP3K8,99.64041909115188,-0.36516081371618286,0.11400772118385677,-3.9487100122027092,7.857346554945461e-05,0.03991069853056121
OSBPL3,10.410219706799293,0.6306386933553948,0.24865582326442448,3.825425242376538,0.00013054654648367707,0.049378428609733654
PALLD,14.92874100155657,0.010127056714153832,0.09163461218196493,4.255978903338529,2.081363333677832e-05,0.025675103409011545
PLEKHO1,1.4430444715845328,-1.7694425628751342,0.6150258054593899,-3.8733371272834307,0.00010735516094542678,0.04414341975065525
PORCN,8.110792588610101,0.010300403887043359,0.04183128071588951,3.9840781755441474,6.774257115158884e-05,0.03899714012626464
PRSS23,171.093438557345,0.17926549619186005,0.050822859947049895,4.102444580360945,4.08807794233742e-05,0.03209141184734875
PTGDS,487.5693229989143,0.6850320565629144,0.16752032747787293,5.001618041908238,5.685114061085104e-07,0.002454547995873494
RNF169,14.095507764350087,0.7490096326117731,0.2799300536382429,4.145366781386642,3.392702032552474e-05,0.029295982051090613
S100A9,7.802396826057539,1.8691900742740297,0.45238324987794376,4.739436890395104,2.1431297013803656e-06,0.004626481242854864
SERGEF,8.025889773486822,1.1923913416206664,0.5116635938344632,4.900903926748264,9.539670205559258e-07,0.0027458350741668067
SP2,9.091577467241935,0.018448745580111066,0.05245061758207084,4.210315545446392,2.5501425838048907e-05,0.02752560151394404
XCL1,33.510320201135784,-0.7271185870002813,0.16714468358872714,-4.581475015092071,4.617077734067462e-06,0.007973693246734507
XCL2,107.60389168416833,-0.3457199990273999,0.10241667188319781,-3.823588563453231,0.00013152331882152567,0.049378428609733654
ZNF672,4.007119791381191,0.007090998403276601,0.021755411950625525,4.371184869805982,1.2357410578184909e-05,0.017784373390437782
