Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870	6/12	1.749949e-01	2.921108e-01	0	0	2.012964e+00	3.508592e+00	CASP7;CASP8;CASP3;SPTAN1;ADD1;PLEC
Reactome_2022	G Alpha (Z) Signaling Events R-HSA-418597	19/47	1.836788e-01	3.063094e-01	0	0	1.366367e+00	2.315399e+00	RGS19;PRKCH;PRKCB;RGS16;PRKCD;GNAI3;PRKCA;ADCY7;GNG11;GNAI2;GNG2;GNGT2;ADCY9;GNG5;GNB2;GNB1;GNAS;PRKCQ;GNB5
Reactome_2022	Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943	12/28	1.867570e-01	3.101829e-01	0	0	1.509958e+00	2.533629e+00	DCTD;DUT;RRM1;RRM2;RRM2B;GUK1;TXNRD1;GSR;GLRX;CTPS1;NME4;TXN2
Reactome_2022	TRAF6 Mediated IRF7 Activation R-HSA-933541	12/28	1.867570e-01	3.101829e-01	0	0	1.509958e+00	2.533629e+00	IFIH1;CREBBP;MAVS;SIKE1;TBK1;TRIM4;IRF3;TRAF6;EP300;TRIM25;IKBKE;RIGI
Reactome_2022	G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217	9/20	1.869028e-01	3.101829e-01	0	0	1.647098e+00	2.762459e+00	GNG2;GNGT2;GNG5;GNB2;GNB1;GNB5;PLCB1;GNG11;PLCB2
Reactome_2022	Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427	9/20	1.869028e-01	3.101829e-01	0	0	1.647098e+00	2.762459e+00	HLA-DRB5;PTPRC;LCK;PTPN22;PTPRJ;CSK;CD3E;CD3D;PAG1
Reactome_2022	Syndecan Interactions R-HSA-3000170	9/20	1.869028e-01	3.101829e-01	0	0	1.647098e+00	2.762459e+00	ITGB1;TGFB1;ACTN1;ITGB3;CASK;PRKCA;ITGA6;ITGAV;THBS1
Reactome_2022	DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	24/61	1.873492e-01	3.106243e-01	0	0	1.306219e+00	2.187631e+00	H2AX;RB1;ACD;CDKN1B;MRE11;H2AC6;H2BC4;HMGA1;TERF1;TERF2;H1-3;CABIN1;LMNB1;H1-2;H2BC12;HIRA;H1-4;RAD50;KAT5;H2AC20;UBN1;EP400;TERF2IP;ASF1A
Reactome_2022	NGF-stimulated Transcription R-HSA-9031628	16/39	1.912840e-01	3.168429e-01	0	0	1.400651e+00	2.316671e+00	EGR1;RNASEH2A;JUND;NAB1;SRF;TCF12;CHD4;FOS;DNM2;REST;CREB1;CDK5;ID2;ID1;EP300;MEF2D
Reactome_2022	Metabolism Of Nucleotides R-HSA-15869	36/95	1.927515e-01	3.189667e-01	0	0	1.228932e+00	2.023256e+00	GMPR2;ADK;GMPS;GLRX;NT5C2;SAMHD1;TXN2;DGUOK;ATIC;GUK1;NUDT18;NUDT15;ADSL;DUT;RRM1;RRM2;ENTPD4;TXNRD1;ENTPD6;GSR;CTPS1;NME4;PAICS;UCKL1;DCTD;NT5C3A;NUDT9;UCK2;UCK1;RRM2B;IMPDH2;DPYD;HPRT1;ADSS2;UMPS;GART
Reactome_2022	Negative Regulation Of FGFR4 Signaling R-HSA-5654733	13/31	1.980217e-01	3.273731e-01	0	0	1.454035e+00	2.354633e+00	BRAF;FRS2;PTPN11;CBL;PPP2CA;PPP2CB;UBB;PPP2R1A;UBC;MAPK1;SPRY2;GRB2;MAPK3
Reactome_2022	RND3 GTPase Cycle R-HSA-9696264	17/42	1.994380e-01	3.283471e-01	0	0	1.369138e+00	2.207395e+00	ANKRD26;TMOD3;TXNL1;SCRIB;PIK3R1;ARHGAP5;LEMD3;ARHGAP35;NISCH;VANGL1;ARHGAP21;DLG5;KCTD13;FLOT2;WDR6;RBMX;PICALM
