feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KIR3DL1,36.66435367953182,-1.4046746789170783,0.24253558776892636,-5.178104425020943,2.241517602417173e-07,0.0016703789173212772
KIR3DL2,28.457934850744703,-1.1766641341891517,0.27865331327836873,-3.7776330386782404,0.00015832593337690331,0.04916020231352848
S100A9,7.383780058717287,1.882423247263227,0.4473765715288236,3.9987954337368423,6.366567632676015e-05,0.03639034091418164
SERGEF,8.032003218632964,1.1879185536687007,0.5134585313263919,4.899403779834534,9.61279120597591e-07,0.002387817335564416
