Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
E2F Targets,1.3789056252346186,0.10980455326460481,0.006726457399103139,HMGA1;NAP1L1;DCK;LBR;XPO1;SRSF1;ANP32E;PRKDC;SYNCRIP;MYC;XRCC6;DUT;TMPO;PSIP1;DEK;RPA3;SMC6;CDKN1B;MTHFD2;PMS2;MCM3;ASF1A;NOLC1;PPP1R8;LIG1;PRDX4;CSE1L;EXOSC8;EIF2S1;CDC25B;PAN2;CDKN2A;BRMS1L;ZW10;NASP;RAN;SMC1A;RPA2;SSRP1;TIMELESS;HELLS;POLD3;SHMT1;RAD51C;RPA1,wald_stat,MSigDB_Hallmark_2020
Reactive Oxygen Species Pathway,1.359174068550522,0.1195727597145123,0.06808510638297872,GPX4;TXNRD1;SOD1;MBP;SELENOS;JUNB;PRDX1;GCLM;PRDX2;PRDX4;TXN;PRDX6;HMOX2;PFKP;IPCEF1;CAT,wald_stat,MSigDB_Hallmark_2020
Androgen Response,1.2727385901269859,0.20940721649484534,0.11181434599156118,ITGAV;XRCC5;TSC22D1;SLC26A2;LMAN1;FKBP5;APPBP2;XRCC6;TNFAIP8;ACTN1;ZMIZ1;TMEM50A;NCOA4;ZBTB10;PDLIM5;HMGCS1,wald_stat,MSigDB_Hallmark_2020
Protein Secretion,1.2609853221929987,0.21284364261168384,0.1031390134529148,SEC22B;LMAN1;SCAMP1;ARFGAP3;ANP32E;SOD1;CD63;USO1;COPB2;STX7;ARCN1;BNIP3;ADAM10;CLTC;SGMS1;BET1;ZW10;GOLGA4;COPB1;VPS4B;CLCN3;ARFIP1,wald_stat,MSigDB_Hallmark_2020
Complement,1.2415456005410839,0.23135470360824742,0.1032258064516129,S100A9;DUSP6;KIF2A;LTA4H;PSEN1;CEBPB;PLAUR;IRF2;CASP1;HSPA5;EHD1;CD59;ANXA5;DOCK10;ZEB1;PPP4C;PIK3CG;PLEK;USP14;RASGRP1,wald_stat,MSigDB_Hallmark_2020
Oxidative Phosphorylation,-1.205983659139085,0.857312440645774,0.08687615526802218,ATP5MC1;TCIRG1;NDUFB7;CS;SUPV3L1;TIMM8B;FXN;ATP5ME;COX6A1;MRPS11;NDUFB6;NDUFC2;SURF1;NDUFA9;HSD17B10;NDUFA1;TIMM17A;NDUFS6;SDHB;UQCRFS1;COX5B;MRPS22;UQCRQ;NDUFB1;ECHS1;UQCR11;ATP6V1H;NDUFA4;PMPCA;NDUFB8;LRPPRC;ACAA1;COX8A;BCKDHA;NDUFS3;HTRA2;GPI;COX7B;POR;NDUFS8;IDH2;ECH1;TOMM22;NDUFV1;DLD;LDHA;SDHA;UQCRC1;GRPEL1;ECI1;ISCA1;ABCB7;DLST;COX5A,wald_stat,MSigDB_Hallmark_2020
Apical Junction,1.1696728969281618,0.3555184960582171,0.17270788912579957,TIAL1;CTNNA1;ARHGEF6;MAPK14;THBS3;ACTN1;ITGB1;RASA1;TRAF1;CERCAM;ATP1A3;PECAM1;PLCG1;VCL;MAP4K2;ICAM2;VASP;STX4;SKAP2;PTPRC;ICAM1;INSIG1;YWHAH,wald_stat,MSigDB_Hallmark_2020
UV Response Up,1.162235387159089,0.35375501145475374,0.18485523385300667,ATP6V1F;SQSTM1;TMBIM6;BID;NR4A1;GRINA;NUP58;JUNB;RPN1;ATP6V1C1;PRPF3;RASGRP1;NFKBIA;RFC4;FOSB;MRPL23;TAP1;CYB5B;DNAJA1;EIF2S3;FKBP4;PPP1R2;DDX21;ATF3;CHKA;ALAS1;ICAM1;STIP1;FOS;BTG2;ENO2;BCL2L11,wald_stat,MSigDB_Hallmark_2020
Spermatogenesis,-1.1556590088310068,0.7866413421968977,0.23586744639376217,TLE4;CSNK2A2;PHKG2;PRKAR2A;LPIN1;TSN;CHFR;BRAF;SIRT1;DBF4;TALDO1;IP6K1;HSPA2;SLC12A2;ZC3H14;PHF7;AGFG1;TOPBP1,wald_stat,MSigDB_Hallmark_2020
G2-M Checkpoint,1.154865575374208,0.35183803581117745,0.15990990990990991,HMGA1;KPNB1;G3BP1;KATNA1;ATF5;LBR;XPO1;NOTCH2;SRSF1;SYNCRIP;MYC;TMPO;NUP50;MAPK14;ATRX;CDKN1B;HIF1A;ARID4A;MCM3;BUB3;NOLC1;PRMT5;TFDP1;CHMP1A;TLE3;PAFAH1B1;CDC25B,wald_stat,MSigDB_Hallmark_2020
